model,domain,mae,rmse,r2
circle_small,sim,3.817,5.137,0.933
circle_small,real,32.312,37.440,-2.498
circle_vgg11,sim,5.244,6.610,0.889
circle_vgg11,real,17.944,21.128,-0.114
circle_resnet18,sim,5.000,6.816,0.882
circle_resnet18,real,17.062,20.338,-0.032
arcface_small,sim,10.587,14.117,0.493
arcface_small,real,16.932,20.208,-0.019
arcface_vgg11,sim,4.460,6.106,0.905
arcface_vgg11,real,18.588,22.623,-0.277
arcface_resnet18,sim,3.285,4.355,0.952
arcface_resnet18,real,25.394,30.278,-1.288
logratio_small,sim,7.314,9.314,0.779
logratio_small,real,20.090,24.666,-0.518
logratio_vgg11,sim,4.330,5.774,0.915
logratio_vgg11,real,21.252,25.075,-0.569
logratio_resnet18,sim,3.349,4.219,0.955
logratio_resnet18,real,26.298,31.247,-1.436
