number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_arcface_m,param_arcface_s,param_batch_size,param_epochs,param_hop_length,param_lr,param_mel,param_n_fft
0,COMPLETE,20.555545806884766,2026-01-26T16:16:44.516687,2026-01-26T17:20:11.628703,3807.112016,"{""best_epoch"": 16, ""best_val_acc"": 0.4041666666666667, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-01-26/16-16-44""}",0.4606690070459253,113.01172832679273,16,21,128,0.00020511104188433984,OFF,2048
1,COMPLETE,0.36523847579956054,2026-01-26T17:20:11.642210,2026-01-26T20:29:38.367005,11366.724795,"{""best_epoch"": 137, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-01-26/17-20-11""}",0.40854066304816694,38.36346360173629,16,159,320,0.000816845589476017,OFF,2048
2,PRUNED,16.802720292409262,2026-01-26T20:29:38.383804,2026-01-26T21:04:24.160525,2085.776721,{},0.28702664565364655,90.20249584764598,8,59,128,0.006586289317583112,OFF,1024
3,COMPLETE,0.09264804571866989,2026-01-26T21:04:24.168767,2026-01-26T21:31:14.296842,1610.128075,"{""best_epoch"": 26, ""best_val_acc"": 1.0, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-01-26/21-04-24""}",0.4256176498949491,47.46466508498665,48,78,128,0.004544383960336014,ON,1024
4,PRUNED,4.712512850761414,2026-01-26T21:31:14.308712,2026-01-26T21:34:46.543457,212.234745,{},0.28658939302939734,23.118535232034645,64,73,128,0.0017643967683381545,ON,1024
5,PRUNED,9.053413105010986,2026-01-26T21:34:46.551324,2026-01-26T21:39:01.072196,254.520872,{},0.4051424146988216,51.207869880548586,16,131,128,0.0001155735281626988,OFF,512
6,PRUNED,37.94574127197266,2026-01-26T21:39:01.080673,2026-01-26T21:47:50.041124,528.960451,{},0.2908020849831183,116.36222559143124,64,164,160,0.0011986281799901185,OFF,2048
7,PRUNED,35.582387669881186,2026-01-26T21:47:50.049061,2026-01-26T21:49:53.647592,123.598531,{},0.2510693774952185,123.79409703351646,16,195,160,0.0005336533066379613,OFF,512
8,PRUNED,31.9987735748291,2026-01-26T21:49:53.655712,2026-01-26T21:50:59.339468,65.683756,{},0.3206698796315519,97.56023104452828,32,55,160,0.003336101309469784,ON,1024
9,PRUNED,22.334701156616212,2026-01-26T21:50:59.348678,2026-01-26T22:00:51.359746,592.011068,{},0.18251256648759595,120.91375873851426,48,83,128,0.002409214543666477,OFF,2048
