number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_arcface_m,param_arcface_s,param_batch_size,param_epochs,param_hop_length,param_lr,param_mel,param_n_fft
0,COMPLETE,0.004401110485196114,2026-02-02T09:40:12.523558,2026-02-02T09:42:56.504291,163.980733,"{""best_epoch"": 67, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/09-40-12""}",0.4606690070459253,113.01172832679273,16,67,128,0.00020511104188433984,OFF,2048
1,COMPLETE,0.12137176642815271,2026-02-02T09:42:56.518739,2026-02-02T10:01:40.228995,1123.710256,"{""best_epoch"": 740, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/09-42-56""}",0.40854066304816694,38.36346360173629,16,788,320,0.000816845589476017,OFF,2048
2,PRUNED,0.08941247736414273,2026-02-02T10:01:40.243405,2026-02-02T10:03:15.104833,94.861428,{},0.28702664565364655,90.20249584764598,8,266,128,0.006586289317583112,OFF,1024
3,COMPLETE,0.04356154277920723,2026-02-02T10:03:15.113418,2026-02-02T10:07:23.580712,248.467294,"{""best_epoch"": 38, ""best_val_acc"": 1.0, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-02/10-03-15""}",0.4256176498949491,47.46466508498665,48,363,128,0.004544383960336014,ON,1024
4,PRUNED,6.291221380233765,2026-02-02T10:07:23.592199,2026-02-02T10:07:36.967493,13.375294,{},0.28658939302939734,23.118535232034645,64,337,128,0.0017643967683381545,ON,1024
5,PRUNED,18.89261728922526,2026-02-02T10:07:36.975503,2026-02-02T10:07:46.934006,9.958503,{},0.4051424146988216,51.207869880548586,16,640,128,0.0001155735281626988,OFF,512
6,PRUNED,31.92430830001831,2026-02-02T10:07:46.943129,2026-02-02T10:08:12.577946,25.634817,{},0.2908020849831183,116.36222559143124,64,810,160,0.0011986281799901185,OFF,2048
7,PRUNED,27.76467119852702,2026-02-02T10:08:12.587697,2026-02-02T10:08:22.256769,9.669072,{},0.2510693774952185,123.79409703351646,16,973,160,0.0005336533066379613,OFF,512
8,PRUNED,27.499848127365112,2026-02-02T10:08:22.266333,2026-02-02T10:08:34.632539,12.366206,{},0.3206698796315519,97.56023104452828,32,245,160,0.003336101309469784,ON,1024
9,PRUNED,21.964541625976562,2026-02-02T10:08:34.642485,2026-02-02T10:09:07.389134,32.746649,{},0.18251256648759595,120.91375873851426,48,393,128,0.002409214543666477,OFF,2048
10,PRUNED,34.88759028116862,2026-02-02T10:09:07.396911,2026-02-02T10:09:19.357145,11.960234,{},0.5995772550218667,74.273248301065,8,17,512,0.0001758046894439956,ON,2048
11,PRUNED,26.013247299194337,2026-02-02T10:09:19.364633,2026-02-02T10:09:29.108233,9.7436,{},0.5203857946269717,57.671735138229465,48,42,256,0.0003590031340508673,ON,1024
12,COMPLETE,0.00025352617376483977,2026-02-02T10:09:29.117244,2026-02-02T10:13:05.613597,216.496353,"{""best_epoch"": 56, ""best_val_acc"": 1.0, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-02/10-09-29""}",0.5093144270486217,74.03382655440367,48,515,128,0.009906450697881482,ON,2048
13,COMPLETE,0.0,2026-02-02T10:13:05.633984,2026-02-02T10:14:47.759663,102.125679,"{""best_epoch"": 442, ""best_val_acc"": 1.0, ""effective_batch_size"": 32, ""output_dir"": ""./outputs/2026-02-02/10-13-05""}",0.6804618900792363,95.7415138479021,32,554,512,0.009568328723313584,ON,2048
14,COMPLETE,1.1920928244535389e-07,2026-02-02T10:14:47.778114,2026-02-02T10:16:39.948233,112.170119,"{""best_epoch"": 427, ""best_val_acc"": 1.0, ""effective_batch_size"": 32, ""output_dir"": ""./outputs/2026-02-02/10-14-47""}",0.6905104846823712,74.38869326462329,32,579,512,0.009915249852660823,ON,2048
15,COMPLETE,9.313225191043273e-10,2026-02-02T10:16:39.961450,2026-02-02T10:18:29.768473,109.807023,"{""best_epoch"": 589, ""best_val_acc"": 1.0, ""effective_batch_size"": 32, ""output_dir"": ""./outputs/2026-02-02/10-16-40""}",0.6655153060377353,92.86936650990508,32,594,512,0.008874506832641585,ON,2048
16,PRUNED,3.8743016261832963e-07,2026-02-02T10:18:29.781722,2026-02-02T10:19:43.862129,74.080407,{},0.6995441536598285,94.85555922081336,32,712,512,0.004402150335185834,ON,2048
17,PRUNED,4.1490417856948625e-07,2026-02-02T10:19:43.876253,2026-02-02T10:20:50.218646,66.342393,{},0.5967328798226846,100.11169043340291,32,483,512,0.0073349270166187305,ON,512
18,PRUNED,30.10069513320923,2026-02-02T10:20:50.229730,2026-02-02T10:20:59.716192,9.486462,{},0.6005213681821229,85.84708362908181,32,950,512,0.002007051588291676,ON,2048
19,PRUNED,3.348104371525551e-07,2026-02-02T10:20:59.724909,2026-02-02T10:22:37.069050,97.344141,{},0.6531672235993753,109.96447697224346,32,667,256,0.005065592497123506,ON,2048
20,PRUNED,18.199100494384766,2026-02-02T10:22:37.081520,2026-02-02T10:22:45.033654,7.952134,{},0.5425887045774705,83.57588444868908,32,483,320,0.0030210943293901647,ON,512
21,PRUNED,4.1630116243140947e-07,2026-02-02T10:22:45.042736,2026-02-02T10:23:54.189321,69.146585,{},0.6977352306431471,68.10789120910721,32,563,512,0.009320959978318041,ON,2048
22,PRUNED,3.892928077675606e-07,2026-02-02T10:23:54.199787,2026-02-02T10:25:04.332432,70.132645,{},0.6388914593772291,102.82556726677166,32,581,512,0.00557551331170524,ON,2048
23,PRUNED,3.2829117913024675e-07,2026-02-02T10:25:04.342367,2026-02-02T10:26:13.197689,68.855322,{},0.6587149235398926,81.59205164610663,32,753,512,0.009675188629439129,ON,2048
24,PRUNED,0.0057209975784644485,2026-02-02T10:26:13.207092,2026-02-02T10:26:23.040477,9.833385,{},0.5780615190817603,64.92438237615698,32,859,512,0.0035804409638327804,ON,2048
25,PRUNED,8.615758164723713,2026-02-02T10:26:23.047721,2026-02-02T10:26:34.037151,10.98943,{},0.10863635217596607,79.17848551355928,8,615,512,0.006874798707602587,ON,2048
26,PRUNED,41.63090658187866,2026-02-02T10:26:34.045863,2026-02-02T10:26:43.389795,9.343932,{},0.6452207305350356,106.78142438805918,32,440,512,0.0014952038904877782,ON,2048
27,PRUNED,22.956336975097656,2026-02-02T10:26:43.397173,2026-02-02T10:26:52.688095,9.290922,{},0.47954848877111944,62.04473990668687,64,683,512,0.00722251089808129,ON,2048
28,PRUNED,23.620736360549927,2026-02-02T10:26:52.697461,2026-02-02T10:27:00.354067,7.656606,{},0.5609364004223176,87.97546676024035,32,549,320,0.0027057881382136473,ON,512
29,PRUNED,37.6738715171814,2026-02-02T10:27:00.362808,2026-02-02T10:27:12.408932,12.046124,{},0.4650231235852769,94.3045929841174,32,189,256,0.0007369042628989034,ON,2048
30,COMPLETE,9.318758770859858e-06,2026-02-02T10:27:12.416396,2026-02-02T10:27:48.826595,36.410199,"{""best_epoch"": 138, ""best_val_acc"": 1.0, ""effective_batch_size"": 32, ""output_dir"": ""./outputs/2026-02-02/10-27-12""}",0.6987322678042678,115.01738820914812,32,138,512,0.004023982747613686,ON,2048
31,COMPLETE,0.0,2026-02-02T10:27:48.836628,2026-02-02T10:29:11.958049,83.121421,"{""best_epoch"": 428, ""best_val_acc"": 1.0, ""effective_batch_size"": 32, ""output_dir"": ""./outputs/2026-02-02/10-27-48""}",0.6961307247257077,110.98765916418157,32,434,512,0.007870149803685089,ON,2048
32,PRUNED,0.02958646579645574,2026-02-02T10:29:11.973000,2026-02-02T10:29:21.150070,9.17707,{},0.6307148186829867,126.98924674491352,32,438,512,0.005959222058434299,ON,2048
33,COMPLETE,0.0,2026-02-02T10:29:21.159032,2026-02-02T10:32:14.866976,173.707944,"{""best_epoch"": 222, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/10-29-21""}",0.6706406731021006,107.70696892454941,16,607,512,0.008309432585591445,ON,2048
