number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_gamma,param_hop_length,param_lr,param_margin,param_n_fft
0,COMPLETE,18.549445247650148,2026-01-27T13:10:01.656030,2026-01-27T13:27:41.667811,1060.011781,"{""best_epoch"": 39, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-27/13-10-01""}",8,39,18.054052923522484,512,0.0010401663679887319,0.1467983561008608,512
1,COMPLETE,15.742852295990344,2026-01-27T13:27:41.706475,2026-01-27T14:00:35.777987,1974.071512,"{""best_epoch"": 55, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/13-27-41""}",4,68,39.28305037696741,512,0.0002049268011541737,0.2574269294896714,1024
2,PRUNED,58.29595654805501,2026-01-27T14:00:35.798341,2026-01-27T14:02:54.105996,138.307655,{},8,123,56.59624983700849,320,0.000747599299995651,0.11393512381599932,512
3,PRUNED,19.861715825398765,2026-01-27T14:02:54.122500,2026-01-27T14:25:48.144602,1374.022102,{},16,33,17.18604369911549,256,0.0005595074635794797,0.2485530730333811,512
4,PRUNED,46.49578908284505,2026-01-27T14:25:48.166630,2026-01-27T14:27:18.867205,90.700575,{},16,189,55.472465245968806,512,0.002074566765675252,0.3684482051282947,512
5,PRUNED,24.365457407633464,2026-01-27T14:27:18.875418,2026-01-27T14:31:42.766687,263.891269,{},16,63,21.448021639920746,256,0.00040375061884407573,0.2628088249474746,512
6,PRUNED,35.29459991455078,2026-01-27T14:31:42.779899,2026-01-27T14:34:30.574095,167.794196,{},8,157,33.71683439056206,256,0.001732053535845956,0.12221339552022711,1024
7,PRUNED,23.989477411905924,2026-01-27T14:34:30.583666,2026-01-27T14:38:06.382287,215.798621,{},16,179,20.5174955860303,320,0.001211130719559933,0.2416644775485848,1024
8,COMPLETE,18.360386994701845,2026-01-27T14:38:06.393132,2026-01-27T14:45:45.016604,458.623472,"{""best_epoch"": 14, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/14-38-06""}",4,16,30.761798390690032,512,0.00015251209898002935,0.2909231233791342,1024
9,PRUNED,50.44008127848307,2026-01-27T14:45:45.033239,2026-01-27T14:47:25.739227,100.705988,{},16,187,59.722856685696144,320,0.00018789279685460533,0.34243611386932515,512
10,PRUNED,97.22435181229203,2026-01-27T14:47:25.750961,2026-01-27T14:48:45.256786,79.505825,{},4,92,110.79360421283222,512,0.00010237384946561919,0.19113859905518332,1024
11,PRUNED,24.956691088499845,2026-01-27T14:48:45.264965,2026-01-27T14:50:09.555340,84.290375,{},4,10,33.55076297769581,512,0.00022614071262206653,0.31551411464252577,1024
12,PRUNED,26.283172307191073,2026-01-27T14:50:09.563462,2026-01-27T14:51:40.012409,90.448947,{},4,86,32.85501323550124,512,0.0038858995026663148,0.29581908062592716,1024
13,PRUNED,36.444075637393524,2026-01-27T14:51:40.020420,2026-01-27T14:53:10.307058,90.286638,{},4,55,42.89828442640518,512,0.00011070009518980705,0.20429002914897487,1024
14,PRUNED,72.79159814340098,2026-01-27T14:53:10.316003,2026-01-27T14:54:42.334401,92.018398,{},4,10,87.08492875049653,512,0.00030352421473691337,0.2913662544263852,1024
15,COMPLETE,5.719828629961099,2026-01-27T14:54:42.345489,2026-01-27T15:43:27.561997,2925.216508,"{""best_epoch"": 87, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/14-54-42""}",4,112,24.783160655197896,512,0.00018519192742615638,0.3928581071868008,1024
16,PRUNED,8.77287126061748,2026-01-27T15:43:27.578926,2026-01-27T16:16:13.365369,1965.786443,{},4,122,23.91190850243428,512,0.00033559033592429975,0.3903401901606175,1024
17,PRUNED,10.026037197059917,2026-01-27T16:16:13.375264,2026-01-27T16:46:18.055100,1804.679836,{},4,143,26.775099119393303,512,0.00022091274967162136,0.39906195438405623,1024
18,PRUNED,40.287528850414134,2026-01-27T16:46:18.064497,2026-01-27T16:48:51.851450,153.786953,{},4,77,42.741947107429276,256,0.0005493487931243712,0.197509293363379,1024
19,PRUNED,52.484927071465385,2026-01-27T16:48:51.861164,2026-01-27T16:50:56.378935,124.517771,{},4,106,74.26623636868857,320,0.00014697951197402512,0.34285327431332063,1024
