number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_gamma,param_hop_length,param_lr,param_margin,param_mel,param_n_fft
0,COMPLETE,42.51926930745443,2026-01-23T17:41:42.501462,2026-01-23T17:44:19.742318,157.240856,"{""best_epoch"": 67, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-01-23/17-41-42""}",16,67,55.84456737008003,128,0.00020511104188433984,0.3598528437324806,OFF,2048
1,COMPLETE,37.811285654703774,2026-01-23T17:44:19.755984,2026-01-23T17:56:36.776221,737.020237,"{""best_epoch"": 362, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-01-23/17-44-19""}",16,788,46.614384587741526,320,0.000816845589476017,0.15990213464750794,OFF,2048
2,COMPLETE,18.0799155553182,2026-01-23T17:56:36.796794,2026-01-23T18:02:17.545923,340.749129,"{""best_epoch"": 264, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/17-56-36""}",8,266,30.593075205107287,128,0.006586289317583112,0.2987566853061946,OFF,1024
3,PRUNED,56.345665740966794,2026-01-23T18:02:17.559118,2026-01-23T18:02:29.528336,11.969218,{},48,363,49.456500332869844,128,0.004544383960336014,0.18428035290621425,ON,1024
4,PRUNED,35.63683223724365,2026-01-23T18:02:29.536102,2026-01-23T18:03:01.025391,31.489289,{},64,337,30.5467495040296,128,0.0017643967683381545,0.1190675050858071,ON,1024
5,PRUNED,48.79472096761068,2026-01-23T18:03:01.032671,2026-01-23T18:03:11.063224,10.030553,{},16,640,46.068607112144036,128,0.0001155735281626988,0.19430679432289802,OFF,512
6,COMPLETE,26.991010665893555,2026-01-23T18:03:11.072249,2026-01-23T18:21:23.961940,1092.889691,"{""best_epoch"": 792, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-23/18-03-11""}",64,810,30.996006031608776,160,0.0011986281799901185,0.368827389977048,OFF,2048
7,COMPLETE,17.67980130513509,2026-01-23T18:21:23.976891,2026-01-23T18:30:15.295009,531.318118,"{""best_epoch"": 162, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-01-23/18-21-24""}",16,973,27.00859875306621,160,0.0005336533066379613,0.3887341884826334,OFF,512
8,PRUNED,32.44446635246277,2026-01-23T18:30:15.323684,2026-01-23T18:30:56.100798,40.777114,{},32,245,34.37646752615187,160,0.003336101309469784,0.3184649045835579,ON,1024
9,COMPLETE,21.437702941894532,2026-01-23T18:30:56.113453,2026-01-23T18:42:02.782019,666.668566,"{""best_epoch"": 393, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-01-23/18-30-56""}",48,393,21.296771455082524,128,0.002409214543666477,0.38101899662102046,OFF,2048
10,PRUNED,86.5335215250651,2026-01-23T18:42:02.794397,2026-01-23T18:42:10.964358,8.169961,{},8,970,100.91305391065973,512,0.00038185879842746114,0.24565757683389833,ON,512
11,COMPLETE,12.823817729949951,2026-01-23T18:42:10.972019,2026-01-23T18:43:26.230101,75.258082,"{""best_epoch"": 103, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/18-42-11""}",8,113,17.497590044565705,256,0.00918510396557225,0.295623212861551,OFF,512
12,COMPLETE,17.20368506113688,2026-01-23T18:43:26.241840,2026-01-23T18:43:47.487618,21.245778,"{""best_epoch"": 23, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/18-43-26""}",8,25,18.360247617065497,256,0.009914387279360315,0.26560787202265573,OFF,512
13,COMPLETE,19.58864835103353,2026-01-23T18:43:47.497151,2026-01-23T18:44:01.749372,14.252221,"{""best_epoch"": 12, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/18-43-47""}",8,13,18.81008773542364,256,0.009770124561766473,0.26594972931242866,OFF,512
14,COMPLETE,9.767549165089925,2026-01-23T18:44:01.757565,2026-01-23T18:45:43.481162,101.723597,"{""best_epoch"": 140, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/18-44-01""}",8,145,16.443220105532376,256,0.009840090690622517,0.23847240301246303,OFF,512
15,PRUNED,70.96251017252604,2026-01-23T18:45:43.497031,2026-01-23T18:45:52.117787,8.620756,{},8,203,74.72191754957029,256,0.005011114332390702,0.2299682969801763,OFF,512
16,COMPLETE,16.681101202964783,2026-01-23T18:45:52.127757,2026-01-23T18:48:40.874298,168.746541,"{""best_epoch"": 144, ""effective_batch_size"": 32, ""output_dir"": ""./outputs/2026-01-23/18-45-52""}",32,486,16.17710118953143,256,0.0030560425700463974,0.317658358320668,OFF,512
17,PRUNED,25.118237431844076,2026-01-23T18:48:40.889837,2026-01-23T18:48:50.894664,10.004827,{},8,144,23.41935602418507,256,0.005640828694727937,0.21328694557002695,OFF,512
18,COMPLETE,15.503082656860352,2026-01-23T18:48:50.902054,2026-01-23T18:50:01.096030,70.193976,"{""best_epoch"": 39, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/18-48-50""}",8,133,24.15437707760973,512,0.0015354551510908922,0.28835020102690895,ON,512
19,COMPLETE,10.185948689778646,2026-01-23T18:50:01.106481,2026-01-23T18:55:10.988328,309.881847,"{""best_epoch"": 174, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/18-50-01""}",8,503,16.209579656895553,320,0.0075507128090297575,0.3385309760652021,OFF,512
20,PRUNED,105.842360496521,2026-01-23T18:55:11.003769,2026-01-23T18:55:17.846358,6.842589,{},32,566,125.69919396698282,320,0.002306609053340658,0.34079152345571323,OFF,512
