number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_gamma,param_hop_length,param_lr,param_margin,param_mel,param_n_fft
0,COMPLETE,43.812904612223306,2026-02-01T12:07:09.345295,2026-02-01T12:21:06.559932,837.214637,"{""best_epoch"": 15, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-01/12-07-09""}",16,21,55.84456737008003,128,0.00020511104188433984,0.3598528437324806,OFF,2048
1,COMPLETE,43.08313547770182,2026-02-01T12:21:06.572809,2026-02-01T13:00:55.196981,2388.624172,"{""best_epoch"": 138, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-01/12-21-06""}",16,159,46.614384587741526,320,0.000816845589476017,0.15990213464750794,OFF,2048
2,COMPLETE,24.36195265452067,2026-02-01T13:00:55.209455,2026-02-01T13:19:33.689220,1118.479765,"{""best_epoch"": 59, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-01/13-00-55""}",8,59,30.593075205107287,128,0.006586289317583112,0.2987566853061946,OFF,1024
3,PRUNED,56.97270202636719,2026-02-01T13:19:33.701731,2026-02-01T13:19:56.357924,22.656193,{},48,78,49.456500332869844,128,0.004544383960336014,0.18428035290621425,ON,1024
4,PRUNED,42.29565715789795,2026-02-01T13:19:56.365604,2026-02-01T13:21:44.779046,108.413442,{},64,73,30.5467495040296,128,0.0017643967683381545,0.1190675050858071,ON,1024
5,PRUNED,46.50079218546549,2026-02-01T13:21:44.787824,2026-02-01T13:22:19.895942,35.108118,{},16,131,46.068607112144036,128,0.0001155735281626988,0.19430679432289802,OFF,512
6,COMPLETE,26.48158836364746,2026-02-01T13:22:19.904229,2026-02-01T14:56:30.058140,5650.153911,"{""best_epoch"": 131, ""effective_batch_size"": 32, ""oom_adjustments"": [{""from"": 64, ""to"": 32}], ""output_dir"": ""./outputs/2026-02-01/13-22-19""}",64,164,30.996006031608776,160,0.0011986281799901185,0.368827389977048,OFF,2048
7,COMPLETE,19.486699040730795,2026-02-01T14:56:30.068860,2026-02-01T15:21:18.770040,1488.70118,"{""best_epoch"": 148, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-01/14-56-30""}",16,195,27.00859875306621,160,0.0005336533066379613,0.3887341884826334,OFF,512
8,PRUNED,35.79666805267334,2026-02-01T15:21:18.781946,2026-02-01T15:21:38.080577,19.298631,{},32,55,34.37646752615187,160,0.003336101309469784,0.3184649045835579,ON,1024
9,COMPLETE,20.107532119750978,2026-02-01T15:21:38.088713,2026-02-01T16:14:34.966504,3176.877791,"{""best_epoch"": 80, ""effective_batch_size"": 24, ""oom_adjustments"": [{""from"": 48, ""to"": 24}], ""output_dir"": ""./outputs/2026-02-01/15-21-38""}",48,83,21.296771455082524,128,0.002409214543666477,0.38101899662102046,OFF,2048
10,PRUNED,88.53293584187826,2026-02-01T16:14:35.005949,2026-02-01T16:14:44.415614,9.409665,{},8,195,100.91305391065973,512,0.00038185879842746114,0.24565757683389833,ON,512
11,COMPLETE,19.23857192993164,2026-02-01T16:14:44.424041,2026-02-01T16:23:09.118171,504.69413,"{""best_epoch"": 108, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-01/16-14-44""}",48,108,17.112668312412115,256,0.0005411577617054223,0.3837429159921141,OFF,512
12,PRUNED,23.821960067749025,2026-02-01T16:23:09.130355,2026-02-01T16:27:51.742436,282.612081,{},48,119,18.283073523835693,256,0.0005252673609818335,0.31209730856865187,OFF,512
13,COMPLETE,16.884373784065247,2026-02-01T16:27:51.751790,2026-02-01T16:43:21.642056,929.890266,"{""best_epoch"": 110, ""effective_batch_size"": 32, ""output_dir"": ""./outputs/2026-02-01/16-27-51""}",32,199,17.581079054961375,256,0.00031714107216690565,0.39880495952423073,OFF,512
14,COMPLETE,19.119362115859985,2026-02-01T16:43:21.655055,2026-02-01T16:54:53.371890,691.716835,"{""best_epoch"": 109, ""effective_batch_size"": 32, ""output_dir"": ""./outputs/2026-02-01/16-43-21""}",32,148,16.443220105532376,256,0.0002550233403965371,0.25944345304149447,OFF,512
15,PRUNED,70.02618598937988,2026-02-01T16:54:53.382793,2026-02-01T16:55:12.652140,19.269347,{},32,157,74.72191754957029,256,0.0002217849370150204,0.26242575434967946,OFF,512
16,PRUNED,25.78583312034607,2026-02-01T16:55:12.659629,2026-02-01T16:55:31.899842,19.240213,{},32,176,21.47747853215074,256,0.00010818886928834742,0.2392499488134855,OFF,512
