number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_eps,param_hop_length,param_lr,param_mel,param_n_fft,param_norm_p
0,FAIL,,2026-02-07T12:09:33.269163,2026-02-07T12:10:32.584120,59.314957,"{""failed_reason"": ""cuda_oom""}",16,21,1.0129197956845722e-05,128,0.00020511104188433984,OFF,2048,3.5985284373248057
1,COMPLETE,15.28344242759049,2026-02-07T12:10:32.593507,2026-02-07T21:48:20.019439,34667.425932,"{""best_epoch"": 129, ""effective_batch_size"": 4, ""oom_adjustments"": [{""from"": 16, ""to"": 8}, {""from"": 8, ""to"": 4}], ""output_dir"": ""./outputs/2026-02-07/12-10-32""}",16,159,3.725393839578879e-06,320,0.000816845589476017,OFF,2048,1.5990213464750793
2,COMPLETE,20.07874870977054,2026-02-07T21:48:20.034251,2026-02-08T02:16:12.935975,16072.901724,"{""best_epoch"": 33, ""effective_batch_size"": 4, ""oom_adjustments"": [{""from"": 8, ""to"": 4}], ""output_dir"": ""./outputs/2026-02-07/21-48-20""}",8,59,3.618723330959616e-07,128,0.006586289317583112,OFF,1024,2.9875668530619457
3,COMPLETE,8.310106671229004,2026-02-08T02:16:12.947637,2026-02-08T03:30:42.149036,4469.201399,"{""best_epoch"": 31, ""effective_batch_size"": 12, ""oom_adjustments"": [{""from"": 48, ""to"": 24}, {""from"": 24, ""to"": 12}], ""output_dir"": ""./outputs/2026-02-08/02-16-12""}",48,78,5.169879442298538e-06,128,0.004544383960336014,ON,1024,1.8428035290621423
4,PRUNED,24.861678912242255,2026-02-08T03:30:42.160548,2026-02-08T03:34:01.704057,199.543509,{},64,73,3.588488911386254e-07,128,0.0017643967683381545,ON,1024,1.1906750508580708
5,PRUNED,19.524922780506312,2026-02-08T03:34:01.711053,2026-02-08T03:40:44.773265,403.062212,{},16,131,3.4902252478382486e-06,128,0.0001155735281626988,OFF,512,1.94306794322898
6,FAIL,,2026-02-08T03:40:44.781152,2026-02-08T03:41:49.917740,65.136588,{},64,164,3.8906070987056304e-07,160,0.0011986281799901185,OFF,2048,3.6882738997704796
7,PRUNED,27.982890498638152,2026-02-08T03:41:49.925786,2026-02-08T03:47:24.233694,334.307908,{},16,195,1.8151456496577548e-07,160,0.0005336533066379613,OFF,512,3.8873418848263337
8,PRUNED,23.38510896762212,2026-02-08T03:47:24.241754,2026-02-08T03:50:00.038439,155.796685,{},32,55,6.901057779813303e-07,160,0.003336101309469784,ON,1024,3.1846490458355787
9,FAIL,,2026-02-08T03:50:00.046669,2026-02-08T03:51:18.178650,78.131981,{},48,83,4.8708496102002865e-08,128,0.002409214543666477,OFF,2048,3.8101899662102037
10,COMPLETE,8.70940379711489,2026-02-08T03:51:18.187229,2026-02-08T08:14:42.003683,15803.816454,"{""best_epoch"": 107, ""effective_batch_size"": 8, ""oom_adjustments"": [{""from"": 32, ""to"": 16}, {""from"": 16, ""to"": 8}], ""output_dir"": ""./outputs/2026-02-08/03-51-18""}",32,148,0.0002725411733530407,160,0.0004993662066506425,OFF,512,3.691330779857731
11,COMPLETE,10.608355627239993,2026-02-08T08:14:42.013273,2026-02-08T12:25:23.652961,15041.639688,"{""best_epoch"": 17, ""effective_batch_size"": 4, ""oom_adjustments"": [{""from"": 32, ""to"": 16}, {""from"": 16, ""to"": 8}, {""from"": 8, ""to"": 4}], ""output_dir"": ""./outputs/2026-02-08/08-14-42""}",32,55,5.4007867012865344e-05,128,0.0026567974312886175,OFF,1024,1.9761990944778032
12,PRUNED,22.419805483271677,2026-02-08T12:25:23.662721,2026-02-08T12:36:52.329594,688.666873,{},8,47,2.534322108372481e-07,160,0.0009661295989662241,OFF,1024,3.167356345784516
13,PRUNED,15.199965810775756,2026-02-08T12:36:52.337668,2026-02-08T12:37:43.173806,50.836138,{},48,11,1.9380838652525874e-08,512,0.007219277407213828,ON,2048,2.492146798436366
14,COMPLETE,5.4374612212181095,2026-02-08T12:37:43.182764,2026-02-08T13:35:38.142864,3474.9601,"{""best_epoch"": 80, ""effective_batch_size"": 24, ""oom_adjustments"": [{""from"": 48, ""to"": 24}], ""output_dir"": ""./outputs/2026-02-08/12-37-43""}",48,122,0.0006016904707021845,256,0.00029040476918499767,ON,512,3.837429159921139
15,PRUNED,8.950560112670065,2026-02-08T13:35:38.155884,2026-02-08T14:20:19.520567,2681.364683,{},48,109,3.499378483573432e-05,256,0.00017885233014558696,ON,512,2.398796577645708
16,COMPLETE,5.50376395881176,2026-02-08T14:20:19.530065,2026-02-08T15:05:55.366008,2735.835943,"{""best_epoch"": 48, ""effective_batch_size"": 24, ""oom_adjustments"": [{""from"": 48, ""to"": 24}], ""output_dir"": ""./outputs/2026-02-08/14-20-19""}",48,96,0.0008334154738569542,256,0.00028192331933899037,ON,512,1.3808217211347897
17,COMPLETE,5.414727675914764,2026-02-08T15:05:55.376699,2026-02-08T15:56:24.392892,3029.016193,"{""best_epoch"": 75, ""effective_batch_size"": 24, ""oom_adjustments"": [{""from"": 48, ""to"": 24}], ""output_dir"": ""./outputs/2026-02-08/15-05-55""}",48,104,0.0008578804046386862,256,0.0003041654393076622,ON,512,1.1055450101288817
18,PRUNED,7.7122685320675375,2026-02-08T15:56:24.405054,2026-02-08T16:24:58.457215,1714.052161,{},48,121,0.00012657888504767818,256,0.00030327920928826477,ON,512,3.5985649777960784
19,PRUNED,6.296461954712868,2026-02-08T16:24:58.465435,2026-02-08T17:02:24.718137,2246.252702,{},64,173,0.0009851203751961009,256,0.00010978347190295245,ON,512,2.788344718827329
20,PRUNED,10.889592617750168,2026-02-08T17:02:24.725930,2026-02-08T17:04:10.755478,106.029548,{},48,96,1.9307521256198713e-05,256,0.00033084886738168103,ON,2048,1.0644552319831386
21,COMPLETE,4.089452382922173,2026-02-08T17:04:10.764149,2026-02-08T17:37:26.677928,1995.913779,"{""best_epoch"": 38, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-08/17-04-10""}",48,140,0.0003010710308357972,512,0.0002051164421423441,ON,512,2.302283968084592
22,COMPLETE,4.671120887994766,2026-02-08T17:37:26.689392,2026-02-08T18:13:03.993296,2137.303904,"{""best_epoch"": 145, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-08/17-37-26""}",48,150,0.00015281668285819066,512,0.00017079500214467483,ON,512,2.2982368335414742
23,PRUNED,11.591126269350449,2026-02-08T18:13:04.004150,2026-02-08T18:13:55.300137,51.295987,{},8,196,0.00014430276377042152,512,0.00016548463751642613,ON,512,2.202898712956748
24,COMPLETE,4.009481388330459,2026-02-08T18:13:55.308582,2026-02-08T18:48:07.853208,2052.544626,"{""best_epoch"": 134, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-08/18-13-55""}",48,144,0.00024752879352665493,512,0.00017481538706417917,ON,512,1.5729208801407757
25,PRUNED,8.280523228645325,2026-02-08T18:48:07.865405,2026-02-08T18:48:56.790208,48.924803,{},48,146,1.4697997562088318e-05,512,0.00017051650042618444,ON,512,1.5850709744040377
26,COMPLETE,4.158648248016834,2026-02-08T18:48:56.798079,2026-02-08T19:29:59.695609,2462.89753,"{""best_epoch"": 138, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-08/18-48-56""}",48,173,0.00020530734929945926,512,0.0005199678791984303,ON,512,2.2289643258002045
27,COMPLETE,2.6251975260674953,2026-02-08T19:29:59.705379,2026-02-08T20:09:17.414165,2357.708786,"{""best_epoch"": 142, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-08/19-29-59""}",64,166,0.00030100614343587904,512,0.0005255117177925707,ON,512,2.6768595766893517
28,COMPLETE,3.4208044447004795,2026-02-08T20:09:17.427335,2026-02-08T20:50:28.940150,2471.512815,"{""best_epoch"": 174, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-08/20-09-17""}",64,174,6.117497925024159e-05,512,0.0015052429599535203,ON,2048,2.654318374177145
29,COMPLETE,3.303983125835657,2026-02-08T20:50:28.951436,2026-02-08T21:31:13.013578,2444.062142,"{""best_epoch"": 142, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-08/20-50-29""}",64,172,6.0009349621272296e-05,512,0.0011005776263630722,ON,2048,2.714996745481732
30,COMPLETE,3.404980931431055,2026-02-08T21:31:13.024699,2026-02-08T22:13:34.529977,2541.505278,"{""best_epoch"": 69, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-08/21-31-13""}",64,179,6.405567830205811e-05,512,0.0018351684831083397,ON,2048,2.7140051206930624
31,PRUNED,12.493746902793646,2026-02-08T22:13:34.540941,2026-02-08T22:15:02.692179,88.151238,{},64,186,9.930333567800851e-06,320,0.0014515024106618892,ON,2048,2.84198050879108
32,PRUNED,16.40528228133917,2026-02-08T22:15:02.702098,2026-02-08T22:16:30.472416,87.770318,{},64,163,1.3904798995423642e-06,320,0.0007369042628989034,ON,2048,3.354441695024539
33,COMPLETE,3.3325339779257774,2026-02-08T22:16:30.481359,2026-02-08T22:54:24.048938,2273.567579,"{""best_epoch"": 119, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-08/22-16-30""}",64,160,6.782868135340654e-05,512,0.0007269775395698635,ON,2048,2.6620647251767684
34,PRUNED,4.095445327460766,2026-02-08T22:54:24.059579,2026-02-08T23:28:58.867330,2074.807751,{},64,158,4.292992250675853e-05,512,0.000770107689006232,ON,2048,2.60240386536033
35,COMPLETE,3.014749012887478,2026-02-08T23:28:58.875789,2026-02-09T00:12:44.988940,2626.113151,"{""best_epoch"": 126, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-08/23-28-58""}",64,185,7.803074457774551e-05,512,0.002026418877287664,ON,2048,2.952589264604893
36,PRUNED,4.65815956145525,2026-02-09T00:12:45.000364,2026-02-09T00:44:31.624134,1906.62377,{},64,161,2.3414144288871107e-05,512,0.001158025134364226,ON,2048,2.9724937053184064
37,PRUNED,5.219019740819931,2026-02-09T00:44:31.633203,2026-02-09T01:07:32.226335,1380.593132,{},64,200,8.140964080793032e-06,512,0.002099575680602521,ON,2048,2.9600337017124927
38,PRUNED,10.060432282586893,2026-02-09T01:07:32.235341,2026-02-09T01:14:31.027587,418.792246,{},64,186,0.0004300827387612283,512,0.0042234129237247045,OFF,2048,3.293267272214189
39,PRUNED,9.036390870809555,2026-02-09T01:14:31.035793,2026-02-09T01:15:58.787580,87.751787,{},64,164,9.930919501780289e-05,320,0.0006534227672543161,ON,2048,3.0857203061997045
40,PRUNED,20.495428204536438,2026-02-09T01:15:58.796430,2026-02-09T01:16:49.955735,51.159305,{},16,184,2.3703980429735624e-06,512,0.00969342764145206,ON,2048,2.5508353167122837
41,FAIL,,2026-02-09T01:16:49.963393,2026-02-09T01:18:07.985347,78.021954,{},64,136,5.363750601390675e-06,128,0.001027925871393892,OFF,2048,3.409097463782156
42,FAIL,,2026-02-09T01:18:07.994974,2026-02-09T01:19:26.412892,78.417918,{},64,126,5.2487887266016335e-06,128,0.0009818671698709127,OFF,2048,3.4466263378259026
43,FAIL,,2026-02-09T01:19:26.421386,2026-02-09T01:20:44.669126,78.24774,{},64,128,6.126977302108028e-06,128,0.0010943511859591761,OFF,2048,3.465594179221428
44,FAIL,,2026-02-09T01:20:44.677871,2026-02-09T01:22:03.105865,78.427994,{},64,138,8.759392444608751e-05,128,0.0013000604641192964,OFF,2048,3.519012265831832
45,FAIL,,2026-02-09T01:22:03.114746,2026-02-09T01:23:21.446100,78.331354,{},64,156,8.888472642111114e-05,128,0.0004153677358186897,OFF,2048,2.001263132011607
46,FAIL,,2026-02-09T01:23:21.454729,2026-02-09T01:24:40.180080,78.725351,{},64,137,8.593167281402383e-05,128,0.000981212791702174,OFF,2048,3.451521068877936
47,FAIL,,2026-02-09T01:24:40.188337,2026-02-09T01:25:58.439051,78.250714,{},64,134,5.452195593800724e-06,128,0.0010584090314055463,OFF,2048,3.4100523418362534
48,FAIL,,2026-02-09T01:25:58.448500,2026-02-09T01:27:16.970683,78.522183,{},64,133,9.042555357393065e-05,128,0.0011053653058047696,OFF,2048,2.7946315170089195
49,FAIL,,2026-02-09T01:27:16.979349,2026-02-09T01:28:35.138830,78.159481,{},64,155,9.728479379457782e-08,128,0.0012835849165152102,OFF,2048,2.04245207993399
50,FAIL,,2026-02-09T01:28:35.148369,2026-02-09T01:29:53.771820,78.623451,{},64,134,9.805717080344989e-05,128,0.0010500502335787343,OFF,2048,3.465279147400437
51,FAIL,,2026-02-09T01:29:53.779749,2026-02-09T01:31:12.133901,78.354152,{},64,135,8.33028633119177e-05,128,0.000993588601814963,OFF,2048,3.456809128810078
52,FAIL,,2026-02-09T01:31:12.142990,2026-02-09T01:32:30.808751,78.665761,{},64,134,5.291038379081372e-06,128,0.0011549248443492649,OFF,2048,3.432224198017656
53,FAIL,,2026-02-09T01:32:30.817747,2026-02-09T01:33:48.995523,78.177776,{},64,137,5.9174193574353115e-06,128,0.0011012183647412072,OFF,2048,2.0162885088250406
54,FAIL,,2026-02-09T01:33:49.004023,2026-02-09T01:35:07.690395,78.686372,{},64,132,6.822366121405239e-08,128,0.0010180162885169608,OFF,2048,2.0185610462829144
55,FAIL,,2026-02-09T01:35:07.699609,2026-02-09T01:36:26.088252,78.388643,{},64,125,6.028672205733277e-06,128,0.0004123059019586266,OFF,2048,2.871500437880886
56,FAIL,,2026-02-09T01:36:26.097584,2026-02-09T01:37:44.647853,78.550269,{},64,132,5.227712026813328e-06,128,0.0010945187013536792,OFF,2048,3.4419690861242787
57,FAIL,,2026-02-09T01:37:44.657687,2026-02-09T01:39:02.733563,78.075876,{},64,135,5.127637070691603e-06,128,0.0010404285149842592,OFF,2048,3.3594723489402565
58,FAIL,,2026-02-09T01:39:02.742203,2026-02-09T01:40:21.354982,78.612779,{},64,133,7.992998718878326e-08,128,0.001101161192497025,OFF,2048,3.4528559277184954
59,FAIL,,2026-02-09T01:40:21.363697,2026-02-09T01:41:39.668080,78.304383,{},64,132,8.763428834302511e-05,128,0.0009253021605114206,OFF,2048,3.423874644770535
60,FAIL,,2026-02-09T01:41:39.678739,2026-02-09T01:42:58.342967,78.664228,{},64,135,6.2118336654783974e-06,128,0.0010325781982970317,OFF,2048,3.4039824410315505
61,FAIL,,2026-02-09T01:42:58.351469,2026-02-09T01:44:16.583802,78.232333,{},64,131,6.037238053518004e-06,128,0.0011330985256687675,OFF,2048,2.0427342604263465
62,FAIL,,2026-02-09T01:44:16.592194,2026-02-09T01:45:35.261814,78.66962,{},64,134,8.009816745567844e-05,128,0.0010609762043008377,OFF,2048,3.459760291834277
63,FAIL,,2026-02-09T01:45:35.271213,2026-02-09T01:46:53.555589,78.284376,{},64,133,9.132884047305636e-05,128,0.0011228095307556252,OFF,2048,2.8732255485342577
64,FAIL,,2026-02-09T01:46:53.564313,2026-02-09T01:48:12.154193,78.58988,{},64,132,9.037687484652605e-05,128,0.0011809376203070457,OFF,2048,2.0222695345170387
65,FAIL,,2026-02-09T01:48:12.163861,2026-02-09T01:49:30.244761,78.0809,{},64,134,2.7893546677249573e-05,128,0.0011131067003872905,OFF,2048,2.8554313513736713
66,FAIL,,2026-02-09T01:49:30.254459,2026-02-09T01:50:48.660793,78.406334,{},64,189,9.079805988903608e-05,128,0.0010682644573978572,OFF,2048,3.412311132461975
67,FAIL,,2026-02-09T01:50:48.669534,2026-02-09T01:52:06.919677,78.250143,{},64,133,5.5828262807699925e-06,128,0.0010788307525364577,OFF,2048,2.063330131638686
68,FAIL,,2026-02-09T01:52:06.928844,2026-02-09T01:53:25.390957,78.462113,{},64,127,7.857794247806714e-05,128,0.0012643453563412337,OFF,2048,3.434623666812359
69,FAIL,,2026-02-09T01:53:25.399834,2026-02-09T01:54:43.467738,78.067904,{},64,130,7.692848583959908e-05,128,0.0010039287910002252,OFF,2048,2.8682803918945137
70,FAIL,,2026-02-09T01:54:43.475903,2026-02-09T01:56:01.986137,78.510234,{},64,129,8.241484159466408e-05,128,0.001052321564397807,OFF,2048,2.901203112793446
