number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_eps,param_hop_length,param_lr,param_mel,param_n_fft,param_norm_p
0,COMPLETE,17.545819542805354,2026-02-12T23:19:42.955541,2026-02-12T23:21:55.551901,132.59636,"{""best_epoch"": 2, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-12/23-19-43""}",16,67,1.0129197956845722e-05,128,0.00020511104188433984,OFF,2048,3.5985284373248057
1,COMPLETE,17.99846541583538,2026-02-12T23:21:55.565583,2026-02-12T23:31:57.864422,602.298839,"{""best_epoch"": 654, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-12/23-21-55""}",16,788,3.725393839578879e-06,320,0.000816845589476017,OFF,2048,1.5990213464750793
2,PRUNED,26.847229227423668,2026-02-12T23:31:57.877708,2026-02-12T23:32:10.922957,13.045249,{},8,266,3.618723330959616e-07,128,0.006586289317583112,OFF,1024,2.9875668530619457
3,COMPLETE,7.486016321182251,2026-02-12T23:32:10.931916,2026-02-12T23:33:52.110426,101.17851,"{""best_epoch"": 240, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-12/23-32-10""}",48,363,5.169879442298538e-06,128,0.004544383960336014,ON,1024,1.8428035290621423
4,COMPLETE,6.5779133066535,2026-02-12T23:33:52.125851,2026-02-12T23:35:26.115252,93.989401,"{""best_epoch"": 320, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-12/23-33-52""}",64,337,3.588488911386254e-07,128,0.0017643967683381545,ON,1024,1.1906750508580708
5,PRUNED,20.35744619568189,2026-02-12T23:35:26.130467,2026-02-12T23:35:34.514272,8.383805,{},16,640,3.4902252478382486e-06,128,0.0001155735281626988,OFF,512,1.94306794322898
6,COMPLETE,6.487518854439259,2026-02-12T23:35:34.523159,2026-02-12T23:53:15.562285,1061.039126,"{""best_epoch"": 790, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-12/23-35-34""}",64,810,3.8906070987056304e-07,160,0.0011986281799901185,OFF,2048,3.6882738997704796
7,PRUNED,28.747961153586704,2026-02-12T23:53:15.581885,2026-02-12T23:53:23.030366,7.448481,{},16,973,1.8151456496577548e-07,160,0.0005336533066379613,OFF,512,3.8873418848263337
8,PRUNED,18.415653727948666,2026-02-12T23:53:23.038701,2026-02-12T23:53:32.185159,9.146458,{},32,245,6.901057779813303e-07,160,0.003336101309469784,ON,1024,3.1846490458355787
9,PRUNED,13.227825254201889,2026-02-12T23:53:32.193663,2026-02-12T23:53:55.449181,23.255518,{},48,393,4.8708496102002865e-08,128,0.002409214543666477,OFF,2048,3.8101899662102037
10,COMPLETE,2.5507042296230793,2026-02-12T23:53:55.458073,2026-02-12T23:55:35.194406,99.736333,"{""best_epoch"": 935, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-12/23-53-55""}",64,970,0.0002680906498213129,512,0.0005338943774556118,ON,2048,2.528097245899107
11,COMPLETE,2.297941882163286,2026-02-12T23:55:35.217023,2026-02-12T23:57:17.302640,102.085617,"{""best_epoch"": 965, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-12/23-55-35""}",64,996,0.0005777118255328356,512,0.00032810037077763495,ON,2048,2.4197105732823077
12,COMPLETE,2.2176840975880623,2026-02-12T23:57:17.326071,2026-02-12T23:58:56.911885,99.585814,"{""best_epoch"": 912, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-12/23-57-17""}",64,968,0.0007068979731794238,512,0.00036320904652239295,ON,2048,2.5544774969929556
13,COMPLETE,2.2113199196755886,2026-02-12T23:58:56.936113,2026-02-13T00:00:18.470701,81.534588,"{""best_epoch"": 652, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-12/23-58-56""}",64,795,0.0008925635600778391,512,0.00023321334933528871,ON,2048,2.4948044703451004
14,PRUNED,3.7981723845005035,2026-02-13T00:00:18.492028,2026-02-13T00:01:18.264733,59.772705,{},64,645,7.431306793009187e-05,256,0.00018772331426032904,ON,2048,2.563982855302409
15,PRUNED,13.52811554496487,2026-02-13T00:01:18.275773,2026-02-13T00:01:26.436440,8.160667,{},8,804,5.918622331954848e-05,512,0.00032694640869831895,ON,2048,2.888621136655358
16,PRUNED,6.2470212653279305,2026-02-13T00:01:26.445726,2026-02-13T00:01:38.721686,12.27596,{},32,639,0.0009851287349022383,512,0.00010749927072542353,ON,512,2.0926445464696597
17,PRUNED,3.8013265021145344,2026-02-13T00:01:38.731191,2026-02-13T00:02:16.926319,38.195128,{},64,875,5.584705486039874e-05,512,0.00024740611479955716,ON,2048,3.2529917080375776
18,PRUNED,3.080462135374546,2026-02-13T00:02:16.936390,2026-02-13T00:03:16.558781,59.622391,{},64,508,0.0001790106423557046,256,0.0004946485794851497,ON,2048,2.299264790029731
19,PRUNED,3.9110004007816315,2026-02-13T00:03:16.570523,2026-02-13T00:04:07.024777,50.454254,{},64,704,3.074136826140698e-05,320,0.0007794569593938493,ON,512,2.7787291071875164
20,PRUNED,10.435340340683858,2026-02-13T00:04:07.036107,2026-02-13T00:04:15.204532,8.168425,{},8,494,0.000286299818583914,512,0.00013766456665385677,ON,2048,1.6040908627686483
21,COMPLETE,2.054532740265131,2026-02-13T00:04:15.213264,2026-02-13T00:05:49.546373,94.333109,"{""best_epoch"": 907, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-13/00-04-15""}",64,914,0.0009574738509612252,512,0.0003327197233379668,ON,2048,2.289888206286419
22,COMPLETE,2.1839988343417645,2026-02-13T00:05:49.566783,2026-02-13T00:07:21.411272,91.844489,"{""best_epoch"": 852, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-13/00-05-49""}",64,904,0.0008549759316650129,512,0.0003596832797781049,ON,2048,2.2188480257702903
23,PRUNED,3.9313383251428604,2026-02-13T00:07:21.427941,2026-02-13T00:07:29.179609,7.751668,{},64,864,0.00015292136272568462,512,0.00017314475331256144,ON,2048,2.219944371817854
24,PRUNED,12.419315330684185,2026-02-13T00:07:29.188893,2026-02-13T00:07:37.037703,7.84881,{},32,879,1.6575958102278944e-05,512,0.0002667523007046398,ON,2048,1.8475267549479768
25,PRUNED,10.934151142835617,2026-02-13T00:07:37.047492,2026-02-13T00:07:44.895387,7.847895,{},64,745,1.18023802175187e-08,512,0.001181688216508071,ON,2048,1.4963807743255146
26,PRUNED,4.264788836240768,2026-02-13T00:07:44.902958,2026-02-13T00:07:54.397702,9.494744,{},48,915,0.0004559413542394791,320,0.0004396816161975418,ON,2048,2.0887888401267882
27,COMPLETE,2.0460438691079617,2026-02-13T00:07:54.405624,2026-02-13T00:08:54.549788,60.144164,"{""best_epoch"": 531, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-13/00-07-54""}",64,574,0.0009976223087343025,512,0.000627348257675012,ON,2048,2.7422845994742384
28,PRUNED,3.8455593436956406,2026-02-13T00:08:54.568219,2026-02-13T00:09:02.242146,7.673927,{},64,545,0.0001799193302535818,256,0.0007319094944242489,ON,1024,2.7275701494650764
29,PRUNED,5.539568096399307,2026-02-13T00:09:02.251310,2026-02-13T00:09:08.096968,5.845658,{},64,202,1.2011237695430481e-05,512,0.0015860512586638492,ON,512,3.378033861803807
30,PRUNED,12.721518297493457,2026-02-13T00:09:08.106190,2026-02-13T00:09:16.217132,8.110942,{},8,70,8.721535084196043e-05,512,0.0006619480504290279,ON,2048,1.0443436155240573
31,COMPLETE,2.18358470313251,2026-02-13T00:09:16.225476,2026-02-13T00:10:30.717243,74.491767,"{""best_epoch"": 652, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-13/00-09-16""}",64,731,0.0009290582067081334,512,0.00023719797147090976,ON,2048,2.378714988053435
32,PRUNED,3.466816321015358,2026-02-13T00:10:30.731359,2026-02-13T00:10:38.499425,7.768066,{},64,693,0.00035089521363394814,512,0.00037963843702587075,ON,2048,2.2457726371140323
33,PRUNED,9.743486158549786,2026-02-13T00:10:38.507754,2026-02-13T00:10:48.008193,9.500439,{},16,567,0.00045787981531549666,320,0.00017246536985949268,ON,2048,2.941861237328353
34,PRUNED,3.0544931888580322,2026-02-13T00:10:48.016774,2026-02-13T00:11:02.358811,14.342037,{},64,733,0.0009315994399213404,512,0.0010528514157145613,OFF,2048,2.6725603665236655
35,PRUNED,5.378029006719589,2026-02-13T00:11:02.367983,2026-02-13T00:11:08.799638,6.431655,{},48,923,0.00010336033919362131,512,0.00029412132584285525,ON,1024,1.657313012941604
