number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_eps,param_hop_length,param_lr,param_mel,param_n_fft,param_norm_p
0,COMPLETE,17.29069224099318,2026-02-06T23:52:51.780084,2026-02-07T00:06:30.468856,818.688772,"{""best_epoch"": 12, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-06/23-52-51""}",16,21,1.0129197956845722e-05,128,0.00020511104188433984,OFF,2048,3.5985284373248057
1,COMPLETE,18.376467089851698,2026-02-07T00:06:30.480795,2026-02-07T00:46:19.647293,2389.166498,"{""best_epoch"": 113, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-07/00-06-30""}",16,159,3.725393839578879e-06,320,0.000816845589476017,OFF,2048,1.5990213464750793
2,PRUNED,26.635379026333492,2026-02-07T00:46:19.658188,2026-02-07T00:47:26.023406,66.365218,{},8,59,3.618723330959616e-07,128,0.006586289317583112,OFF,1024,2.9875668530619457
3,COMPLETE,7.235364907979966,2026-02-07T00:47:26.031610,2026-02-07T00:53:27.816513,361.784903,"{""best_epoch"": 68, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-07/00-47-26""}",48,78,5.169879442298538e-06,128,0.004544383960336014,ON,1024,1.8428035290621423
4,COMPLETE,7.163695894181728,2026-02-07T00:53:27.828161,2026-02-07T00:59:06.110526,338.282365,"{""best_epoch"": 45, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-07/00-53-27""}",64,73,3.588488911386254e-07,128,0.0017643967683381545,ON,1024,1.1906750508580708
5,PRUNED,20.56145618359248,2026-02-07T00:59:06.122279,2026-02-07T00:59:41.184173,35.061894,{},16,131,3.4902252478382486e-06,128,0.0001155735281626988,OFF,512,1.94306794322898
6,PRUNED,20.004765905439854,2026-02-07T00:59:41.192232,2026-02-07T01:01:42.928510,121.736278,{},64,164,3.8906070987056304e-07,160,0.0011986281799901185,OFF,2048,3.6882738997704796
7,PRUNED,28.28444983959198,2026-02-07T01:01:42.936661,2026-02-07T01:02:12.045628,29.108967,{},16,195,1.8151456496577548e-07,160,0.0005336533066379613,OFF,512,3.8873418848263337
8,PRUNED,18.07948350161314,2026-02-07T01:02:12.054072,2026-02-07T01:02:31.116756,19.062684,{},32,55,6.901057779813303e-07,160,0.003336101309469784,ON,1024,3.1846490458355787
9,PRUNED,20.15917277634144,2026-02-07T01:02:31.123973,2026-02-07T01:05:02.155256,151.031283,{},48,83,4.8708496102002865e-08,128,0.002409214543666477,OFF,2048,3.8101899662102037
10,COMPLETE,3.175014551728964,2026-02-07T01:05:02.163106,2026-02-07T01:05:20.895157,18.732051,"{""best_epoch"": 8, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-07/01-05-02""}",64,11,0.00028297050585303823,512,0.0014299779613089949,ON,1024,1.053885626844459
11,COMPLETE,2.7652677074074745,2026-02-07T01:05:20.906172,2026-02-07T01:05:40.820468,19.914296,"{""best_epoch"": 8, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-07/01-05-20""}",64,12,0.0005783188522841433,512,0.0014877767470530615,ON,1024,1.0261093859498098
12,COMPLETE,2.7851245924830437,2026-02-07T01:05:40.830959,2026-02-07T01:05:58.394858,17.563899,"{""best_epoch"": 10, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-07/01-05-40""}",64,10,0.0007074653948204801,512,0.000495181463517275,ON,1024,1.010626372043554
13,COMPLETE,2.3879713639616966,2026-02-07T01:05:58.405593,2026-02-07T01:06:43.500120,45.094527,"{""best_epoch"": 27, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-07/01-05-58""}",64,34,0.0008925867939238788,512,0.00039115639986916223,ON,1024,2.392347787077059
14,COMPLETE,3.7087916880846024,2026-02-07T01:06:43.511267,2026-02-07T01:08:19.596690,96.085423,"{""best_epoch"": 39, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-07/01-06-43""}",64,39,7.43139466697864e-05,256,0.0003041654393076622,ON,1024,2.384214518460663
15,PRUNED,12.997763124108314,2026-02-07T01:08:19.606650,2026-02-07T01:08:29.601658,9.995008,{},8,102,5.078856659327226e-05,512,0.000699098247236581,ON,1024,2.5336833421472575
16,PRUNED,6.444165505468845,2026-02-07T01:08:29.610592,2026-02-07T01:08:38.597064,8.986472,{},32,38,0.0009851160707481607,512,0.0002814425914261229,ON,512,2.392499488134854
17,COMPLETE,3.36680905520916,2026-02-07T01:08:38.605633,2026-02-07T01:09:24.799204,46.193571,"{""best_epoch"": 27, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-07/01-08-38""}",64,35,0.00013723257264518622,512,0.0091052735817353,ON,1024,1.4853024830078208
18,PRUNED,5.074465587735176,2026-02-07T01:09:24.808550,2026-02-07T01:09:38.646419,13.837869,{},64,106,2.0597694475617363e-05,256,0.00011152977421811869,ON,1024,2.8794367406548487
19,COMPLETE,2.949354015290737,2026-02-07T01:09:38.654115,2026-02-07T01:11:25.453759,106.799644,"{""best_epoch"": 42, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-07/01-09-38""}",64,55,0.00029301477187509045,320,0.00039663280681539933,ON,512,2.070111909124213
20,PRUNED,35.51978750228882,2026-02-07T01:11:25.463060,2026-02-07T01:11:35.519974,10.056914,{},8,29,1.644387806403371e-08,512,0.0021830250884679546,ON,1024,1.4450427702503605
21,COMPLETE,2.5374576039612293,2026-02-07T01:11:35.528662,2026-02-07T01:11:59.992686,24.464024,"{""best_epoch"": 15, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-07/01-11-35""}",64,16,0.0009574738509612252,512,0.0005380679379068766,ON,1024,1.0070690216099565
22,PRUNED,3.4830407053232193,2026-02-07T01:12:00.002410,2026-02-07T01:12:11.792473,11.790063,{},64,23,0.0002470769670406719,512,0.0008152340607097951,ON,1024,1.3394545433395357
23,COMPLETE,2.3828136175870895,2026-02-07T01:12:11.800312,2026-02-07T01:13:12.905689,61.105377,"{""best_epoch"": 23, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-07/01-12-11""}",64,48,0.0008578827232589694,512,0.0001792024329805478,ON,1024,1.6833310636815133
24,PRUNED,9.518199268728495,2026-02-07T01:13:12.917569,2026-02-07T01:13:22.545361,9.627792,{},32,48,9.255906072747113e-05,512,0.00017662623143717722,ON,1024,1.6740051796510276
25,PRUNED,4.718389317393303,2026-02-07T01:13:22.553774,2026-02-07T01:13:31.998367,9.444593,{},64,93,3.345724260831463e-05,512,0.00015806474217163713,ON,1024,2.133342652672321
