number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_eps,param_hop_length,param_lr,param_mel,param_n_fft,param_norm_p
0,COMPLETE,15.433463880233466,2026-02-09T14:16:52.689500,2026-02-09T15:03:40.987019,2808.297519,"{""best_epoch"": 15, ""effective_batch_size"": 8, ""oom_adjustments"": [{""from"": 16, ""to"": 8}], ""output_dir"": ""./outputs/2026-02-09/14-16-52""}",16,21,1.0129197956845722e-05,128,0.00020511104188433984,OFF,2048,3.5985284373248057
1,COMPLETE,17.333986197908718,2026-02-09T15:03:41.000287,2026-02-09T17:26:11.006292,8550.006005,"{""best_epoch"": 134, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-09/15-03-41""}",16,159,3.725393839578879e-06,320,0.000816845589476017,OFF,2048,1.5990213464750793
2,PRUNED,26.07197799384594,2026-02-09T17:26:11.019256,2026-02-09T17:29:37.747050,206.727794,{},8,59,3.618723330959616e-07,128,0.006586289317583112,OFF,1024,2.9875668530619457
3,COMPLETE,7.364142036437988,2026-02-09T17:29:37.754751,2026-02-09T17:49:58.296744,1220.541993,"{""best_epoch"": 56, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-09/17-29-37""}",48,78,5.169879442298538e-06,128,0.004544383960336014,ON,1024,1.8428035290621423
4,COMPLETE,6.693289801478386,2026-02-09T17:49:58.308064,2026-02-09T18:08:57.061170,1138.753106,"{""best_epoch"": 71, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-09/17-49-58""}",64,73,3.588488911386254e-07,128,0.0017643967683381545,ON,1024,1.1906750508580708
5,PRUNED,20.35079485575358,2026-02-09T18:08:57.072269,2026-02-09T18:10:42.558421,105.486152,{},16,131,3.4902252478382486e-06,128,0.0001155735281626988,OFF,512,1.94306794322898
6,PRUNED,26.739798990885415,2026-02-09T18:10:42.568563,2026-02-09T18:17:07.843923,385.27536,{},64,164,3.8906070987056304e-07,160,0.0011986281799901185,OFF,2048,3.6882738997704796
7,PRUNED,28.08887172440688,2026-02-09T18:17:07.852327,2026-02-09T18:18:34.148249,86.295922,{},16,195,1.8151456496577548e-07,160,0.0005336533066379613,OFF,512,3.8873418848263337
8,PRUNED,18.412026558071375,2026-02-09T18:18:34.156368,2026-02-09T18:19:20.215692,46.059324,{},32,55,6.901057779813303e-07,160,0.003336101309469784,ON,1024,3.1846490458355787
9,PRUNED,15.30355487316847,2026-02-09T18:19:20.223534,2026-02-09T18:26:46.870765,446.647231,{},48,83,4.8708496102002865e-08,128,0.002409214543666477,OFF,2048,3.8101899662102037
