number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_eps,param_hop_length,param_lr,param_mel,param_n_fft,param_norm_p
0,COMPLETE,17.23845487833023,2026-01-27T13:10:47.492353,2026-01-27T13:16:17.922595,330.430242,"{""best_epoch"": 59, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-01-27/13-10-47""}",16,67,1.0129197956845722e-05,128,0.00020511104188433984,OFF,2048,3.5985284373248057
1,COMPLETE,17.882943813006083,2026-01-27T13:16:17.942037,2026-01-27T13:46:57.829469,1839.887432,"{""best_epoch"": 781, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-01-27/13-16-17""}",16,788,3.725393839578879e-06,320,0.000816845589476017,OFF,2048,1.5990213464750793
2,PRUNED,26.27289897526304,2026-01-27T13:46:57.849582,2026-01-27T13:47:22.659677,24.810095,{},8,266,3.618723330959616e-07,128,0.006586289317583112,OFF,1024,2.9875668530619457
3,COMPLETE,7.337486547231674,2026-01-27T13:47:22.692947,2026-01-27T13:52:16.214822,293.521875,"{""best_epoch"": 240, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-01-27/13-47-22""}",48,363,5.169879442298538e-06,128,0.004544383960336014,ON,1024,1.8428035290621423
4,COMPLETE,6.446266032755375,2026-01-27T13:52:16.230732,2026-01-27T13:56:35.913620,259.682888,"{""best_epoch"": 329, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/13-52-16""}",64,337,3.588488911386254e-07,128,0.0017643967683381545,ON,1024,1.1906750508580708
5,PRUNED,20.98694250981013,2026-01-27T13:56:35.933193,2026-01-27T13:56:49.704257,13.771064,{},16,640,3.4902252478382486e-06,128,0.0001155735281626988,OFF,512,1.94306794322898
6,COMPLETE,6.286719843745232,2026-01-27T13:56:49.711474,2026-01-27T14:42:01.049618,2711.338144,"{""best_epoch"": 780, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/13-56-49""}",64,810,3.8906070987056304e-07,160,0.0011986281799901185,OFF,2048,3.6882738997704796
7,PRUNED,28.78188790678978,2026-01-27T14:42:01.075696,2026-01-27T14:42:13.556787,12.481091,{},16,973,1.8151456496577548e-07,160,0.0005336533066379613,OFF,512,3.8873418848263337
8,PRUNED,18.748174604028463,2026-01-27T14:42:13.566860,2026-01-27T14:42:27.484001,13.917141,{},32,245,6.901057779813303e-07,160,0.003336101309469784,ON,1024,3.1846490458355787
9,PRUNED,13.322301828861237,2026-01-27T14:42:27.491977,2026-01-27T14:43:12.216259,44.724282,{},48,393,4.8708496102002865e-08,128,0.002409214543666477,OFF,2048,3.8101899662102037
10,COMPLETE,2.5854251980781555,2026-01-27T14:43:12.226142,2026-01-27T14:48:15.441545,303.215403,"{""best_epoch"": 894, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/14-43-12""}",64,970,0.0002680906498213129,512,0.0005338943774556118,ON,2048,2.528097245899107
11,COMPLETE,2.3486770018935204,2026-01-27T14:48:15.467828,2026-01-27T14:53:11.794819,296.326991,"{""best_epoch"": 344, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/14-48-15""}",64,996,0.0005777118255328356,512,0.00032810037077763495,ON,2048,2.4197105732823077
12,COMPLETE,2.3358498364686966,2026-01-27T14:53:11.853741,2026-01-27T14:58:15.385999,303.532258,"{""best_epoch"": 900, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/14-53-11""}",64,968,0.0007068979731794238,512,0.00036320904652239295,ON,2048,2.5544774969929556
13,COMPLETE,2.091189928352833,2026-01-27T14:58:15.417119,2026-01-27T15:02:23.040581,247.623462,"{""best_epoch"": 541, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/14-58-15""}",64,795,0.0008925635600778391,512,0.00023321334933528871,ON,2048,2.4948044703451004
14,PRUNED,3.542761482298374,2026-01-27T15:02:23.063257,2026-01-27T15:05:07.462003,164.398746,{},64,645,7.431306793009187e-05,256,0.00018772331426032904,ON,2048,2.563982855302409
15,PRUNED,13.030231917276978,2026-01-27T15:05:07.473427,2026-01-27T15:05:21.629397,14.15597,{},8,804,5.918622331954848e-05,512,0.00032694640869831895,ON,2048,2.888621136655358
16,PRUNED,6.171814035624266,2026-01-27T15:05:21.642221,2026-01-27T15:05:58.330935,36.688714,{},32,639,0.0009851287349022383,512,0.00010749927072542353,ON,512,2.0926445464696597
17,PRUNED,3.5438807606697083,2026-01-27T15:05:58.340182,2026-01-27T15:07:49.164088,110.823906,{},64,875,5.584705486039874e-05,512,0.00024740611479955716,ON,2048,3.2529917080375776
18,PRUNED,3.0384601652622223,2026-01-27T15:07:49.174768,2026-01-27T15:10:33.967195,164.792427,{},64,508,0.0001790106423557046,256,0.0004946485794851497,ON,2048,2.299264790029731
19,PRUNED,3.8221529126167297,2026-01-27T15:10:33.983354,2026-01-27T15:12:54.931635,140.948281,{},64,704,3.074136826140698e-05,320,0.0007794569593938493,ON,512,2.7787291071875164
20,PRUNED,10.094233422974746,2026-01-27T15:12:54.944024,2026-01-27T15:13:08.986094,14.04207,{},8,494,0.000286299818583914,512,0.00013766456665385677,ON,2048,1.6040908627686483
21,COMPLETE,2.1562437266111374,2026-01-27T15:13:08.998436,2026-01-27T15:18:00.217128,291.218692,"{""best_epoch"": 861, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/15-13-09""}",64,914,0.0009574738509612252,512,0.0003327197233379668,ON,2048,2.289888206286419
22,COMPLETE,2.1090894639492035,2026-01-27T15:18:00.246671,2026-01-27T15:22:45.247116,285.000445,"{""best_epoch"": 823, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/15-18-00""}",64,904,0.0008549759316650129,512,0.0003596832797781049,ON,2048,2.2188480257702903
23,PRUNED,3.6329485476017,2026-01-27T15:22:45.267052,2026-01-27T15:22:55.878838,10.611786,{},64,864,0.00015292136272568462,512,0.00017314475331256144,ON,2048,2.219944371817854
24,PRUNED,11.89770806580782,2026-01-27T15:22:55.888762,2026-01-27T15:23:06.707055,10.818293,{},32,879,1.6575958102278944e-05,512,0.0002667523007046398,ON,2048,1.8475267549479768
25,PRUNED,10.677404671907425,2026-01-27T15:23:06.714916,2026-01-27T15:23:17.234270,10.519354,{},64,745,1.18023802175187e-08,512,0.001181688216508071,ON,2048,1.4963807743255146
26,PRUNED,4.141067039966583,2026-01-27T15:23:17.243832,2026-01-27T15:23:29.871165,12.627333,{},48,915,0.0004559413542394791,320,0.0004396816161975418,ON,2048,2.0887888401267882
27,COMPLETE,2.030939683318138,2026-01-27T15:23:29.880891,2026-01-27T15:26:30.166069,180.285178,"{""best_epoch"": 496, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/15-23-29""}",64,574,0.0009976223087343025,512,0.000627348257675012,ON,2048,2.7422845994742384
28,PRUNED,3.500363014638424,2026-01-27T15:26:30.184870,2026-01-27T15:26:40.924806,10.739936,{},64,531,0.00017488308845822065,256,0.0007319094944242489,ON,1024,2.7873583148208847
29,PRUNED,5.567993402481079,2026-01-27T15:26:40.933605,2026-01-27T15:26:48.931325,7.99772,{},64,575,1.1467620134572713e-05,512,0.0015860512586638492,ON,512,3.378033861803807
30,PRUNED,12.415601573387782,2026-01-27T15:26:48.939148,2026-01-27T15:27:02.909050,13.969902,{},8,70,8.721535084196043e-05,512,0.00022823833275974892,ON,2048,3.4946954372700874
31,COMPLETE,2.0894341245293617,2026-01-27T15:27:02.917362,2026-01-27T15:30:54.016280,231.098918,"{""best_epoch"": 726, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/15-27-02""}",64,731,0.0009290582067081334,512,0.0006316777394321944,ON,2048,2.7066086038007073
32,PRUNED,3.271026186645031,2026-01-27T15:30:54.036481,2026-01-27T15:31:04.803188,10.766707,{},64,693,0.00035089521363394814,512,0.0006792002782841524,ON,2048,3.0381249094506013
33,PRUNED,8.764442519346874,2026-01-27T15:31:04.811255,2026-01-27T15:31:18.386979,13.575724,{},16,763,0.00045787981531549666,320,0.0010213604271148299,ON,2048,2.7354107503154355
34,PRUNED,3.9967875629663467,2026-01-27T15:31:18.410250,2026-01-27T15:31:33.031539,14.621289,{},64,824,0.0001280314564397468,512,0.0006263882342453351,OFF,2048,2.6725603665236655
35,PRUNED,3.800445830821991,2026-01-27T15:31:33.040959,2026-01-27T15:31:42.005284,8.964325,{},48,577,0.000989264908875076,512,0.00043981983565779815,ON,1024,3.0636152263468475
36,PRUNED,4.465044021606445,2026-01-27T15:31:42.014103,2026-01-27T15:31:52.657461,10.643358,{},64,447,3.6551541572459556e-05,512,0.00918478268895291,ON,2048,2.413835330320081
37,PRUNED,23.512774936358134,2026-01-27T15:31:52.668618,2026-01-27T15:32:27.959973,35.291355,{},16,702,1.1571880608753533e-06,160,0.0009366922394144273,OFF,2048,2.0719251858616263
38,PRUNED,3.232025235891342,2026-01-27T15:32:27.971589,2026-01-27T15:32:46.204901,18.233312,{},64,738,0.00034941772221779255,128,0.0001695123758140392,ON,1024,2.9455520862024183
39,PRUNED,15.000244952738285,2026-01-27T15:32:46.217119,2026-01-27T15:33:10.865096,24.647977,{},32,604,6.593999699208842e-06,256,0.0013457762379204385,OFF,2048,1.7536888708745204
40,PRUNED,3.840924009680748,2026-01-27T15:33:10.875377,2026-01-27T15:33:19.502111,8.626734,{},64,802,0.0002190122458073085,512,0.0022359654744855666,ON,512,3.221342384333072
41,COMPLETE,2.126939259469509,2026-01-27T15:33:19.510956,2026-01-27T15:38:09.738684,290.227728,"{""best_epoch"": 341, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/15-33-19""}",64,921,0.0009769287678796047,512,0.0003670564302017066,ON,2048,2.2729698179354383
42,PRUNED,2.8306604400277138,2026-01-27T15:38:09.761107,2026-01-27T15:38:20.938870,11.177763,{},64,915,0.0006465237813953607,512,0.0002745503267251399,ON,2048,2.4101116192982532
43,PRUNED,3.1238202080130577,2026-01-27T15:38:20.951098,2026-01-27T15:38:38.477595,17.526497,{},64,845,0.0004846399827574523,160,0.0005668336744940229,ON,2048,2.185773788644997
44,PRUNED,6.330583393573761,2026-01-27T15:38:38.501341,2026-01-27T15:38:52.482071,13.98073,{},64,772,1.8483659804960682e-06,512,0.0003924329140254708,ON,2048,2.6105874111445604
45,PRUNED,5.335362136363983,2026-01-27T15:38:52.490480,2026-01-27T15:39:36.455758,43.965278,{},48,930,0.00011767203723421068,128,0.00015040996972807792,OFF,2048,1.9574327934801814
46,PRUNED,9.661400234699249,2026-01-27T15:39:36.475206,2026-01-27T15:39:51.413574,14.938368,{},16,682,0.00029323488392272973,512,0.0003001669330340124,ON,2048,2.863243936788719
47,PRUNED,2.96145561337471,2026-01-27T15:39:51.422743,2026-01-27T15:40:00.603006,9.180263,{},64,202,0.0006171304973400217,512,0.0001955939681369175,ON,1024,1.0278495333797502
48,PRUNED,27.390931793053944,2026-01-27T15:40:00.612027,2026-01-27T15:40:17.005716,16.393689,{},8,960,1.7174061827960107e-07,320,0.00039840808080493094,ON,2048,2.4648094141677577
49,PRUNED,2.8307724744081497,2026-01-27T15:40:17.017921,2026-01-27T15:40:28.325826,11.307905,{},64,425,0.0006824919094215763,512,0.0009810046235990341,ON,2048,2.3104567067361974
50,PRUNED,3.5217040553689003,2026-01-27T15:40:28.335488,2026-01-27T15:40:41.473328,13.13784,{},64,823,0.0002859304894890973,160,0.0004994466635663461,OFF,512,2.5992748982886944
51,COMPLETE,2.169523872435093,2026-01-27T15:40:41.481092,2026-01-27T15:45:22.777376,281.296284,"{""best_epoch"": 550, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/15-40-41""}",64,907,0.0008869005562641148,512,0.00034371982220027925,ON,2048,2.2299006928614133
52,COMPLETE,2.132776588201523,2026-01-27T15:45:22.796775,2026-01-27T15:50:36.122172,313.325397,"{""best_epoch"": 906, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/15-45-22""}",64,996,0.0009685956385796809,512,0.0002470481280666666,ON,2048,2.347961014017171
53,PRUNED,3.087572008371353,2026-01-27T15:50:36.140046,2026-01-27T15:50:46.778739,10.638693,{},64,997,0.0004650444020224985,512,0.0002257161985799241,ON,2048,1.968950579602966
54,COMPLETE,1.968902476131916,2026-01-27T15:50:46.788672,2026-01-27T15:55:21.551096,274.762424,"{""best_epoch"": 784, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/15-50-46""}",64,872,0.0009786554026451934,512,0.0005765760332583996,ON,2048,2.3743056691294013
55,PRUNED,7.020907565951347,2026-01-27T15:55:21.574917,2026-01-27T15:55:32.749142,11.174225,{},32,841,0.0004744124074560967,512,0.0005935678254726344,ON,2048,2.5370276048517484
56,PRUNED,3.5069118812680244,2026-01-27T15:55:32.758640,2026-01-27T15:55:53.136688,20.378048,{},64,332,0.0002110668000255652,128,0.0004654553618802441,ON,2048,2.7081224440794083
57,PRUNED,3.8829756900668144,2026-01-27T15:55:53.145949,2026-01-27T15:56:03.797923,10.651974,{},64,656,0.00010960425306111235,512,0.0008163087717551338,ON,2048,2.462837487824334
58,PRUNED,3.0406415536999702,2026-01-27T15:56:03.806240,2026-01-27T15:56:17.573307,13.767067,{},64,877,0.0006623358637340902,256,0.004247777160801069,ON,2048,2.1279434227130993
59,PRUNED,9.602866314848264,2026-01-27T15:56:17.583188,2026-01-27T15:56:31.783674,14.200486,{},8,945,0.00036699182450198063,512,0.0006717132001744252,ON,2048,3.0945699587966087
60,PRUNED,6.108036935329437,2026-01-27T15:56:31.791534,2026-01-27T15:56:40.677782,8.886248,{},48,781,4.154735064923854e-05,512,0.00012424988099271576,ON,1024,2.8201135052145303
61,COMPLETE,2.1681226268410683,2026-01-27T15:56:40.685462,2026-01-27T16:01:59.736577,319.051115,"{""best_epoch"": 904, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/15-56-40""}",64,990,0.0009927004329510097,512,0.0003094961011982712,ON,2048,2.2800212230646633
62,PRUNED,2.8963099271059036,2026-01-27T16:01:59.755020,2026-01-27T16:02:12.818533,13.063513,{},64,890,0.0007101875958283256,512,0.00039628917524980623,ON,2048,2.3398301280634834
63,PRUNED,3.4738574400544167,2026-01-27T16:02:12.829290,2026-01-27T16:02:26.591803,13.762513,{},64,957,0.0002080346277839044,512,0.00024360521564369535,ON,2048,2.0391398384161725
64,PRUNED,2.880729526281357,2026-01-27T16:02:26.599926,2026-01-27T16:02:39.821049,13.221123,{},64,743,0.0007021070463198637,512,0.0002758069980805571,ON,2048,2.6369630736746843
65,COMPLETE,2.020552523434162,2026-01-27T16:02:39.828993,2026-01-27T16:07:29.769751,289.940758,"{""best_epoch"": 642, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/16-02-39""}",64,851,0.0009761497671293666,512,0.0005154618657678211,ON,2048,2.39188868108871
66,PRUNED,3.2240139842033386,2026-01-27T16:07:29.793880,2026-01-27T16:07:44.369902,14.576022,{},64,863,0.0003769442035895864,320,0.0005389522830066452,ON,512,2.1906770023503706
67,PRUNED,9.49366951485475,2026-01-27T16:07:44.386142,2026-01-27T16:07:59.504952,15.11881,{},16,802,0.0002780097938043253,512,0.0008653973489805755,ON,2048,1.8891650742994297
68,PRUNED,6.81371757760644,2026-01-27T16:07:59.512756,2026-01-27T16:08:14.224871,14.712115,{},32,736,0.0005190328059895034,512,0.0007243402131299939,ON,2048,1.7294166095351076
69,PRUNED,2.902898646891117,2026-01-27T16:08:14.235344,2026-01-27T16:08:30.141928,15.906584,{},64,839,0.000994698463025728,512,0.00045275869620522535,OFF,2048,2.5273782586090388
70,PRUNED,3.994154155254364,2026-01-27T16:08:30.151699,2026-01-27T16:08:48.235791,18.084092,{},64,893,8.450263227036429e-05,256,0.0010935272620752974,ON,2048,2.676766001497582
71,PRUNED,2.881677433848381,2026-01-27T16:08:48.245855,2026-01-27T16:09:01.385802,13.139947,{},64,957,0.0006961373764764588,512,0.00037370949128063435,ON,2048,2.339330071483269
72,PRUNED,2.707248955965042,2026-01-27T16:09:01.394026,2026-01-27T16:09:14.476147,13.082121,{},64,933,0.0009970511715570317,512,0.00021290154517952431,ON,2048,2.3926774858408852
73,PRUNED,3.223422087728977,2026-01-27T16:09:14.486309,2026-01-27T16:09:27.359147,12.872838,{},64,850,0.0003838621976780764,512,0.0006175106941407377,ON,2048,2.4996025968809565
74,PRUNED,3.04230397939682,2026-01-27T16:09:27.367188,2026-01-27T16:09:41.097567,13.730379,{},64,1000,0.0005353800374158585,512,0.0005405940448215357,ON,2048,2.921232133493416
75,PRUNED,3.6412311419844627,2026-01-27T16:09:41.110068,2026-01-27T16:09:54.310118,13.20005,{},64,785,0.00014866093440756272,512,0.0002982964135223264,ON,2048,2.142741234772019
76,PRUNED,2.8848726600408554,2026-01-27T16:09:54.330981,2026-01-27T16:10:15.664399,21.333418,{},64,894,0.0007706469637127468,160,0.00035990107479656324,ON,2048,2.769073789338774
77,PRUNED,10.443073669572671,2026-01-27T16:10:15.677968,2026-01-27T16:10:38.686124,23.008156,{},8,538,0.0002578635592475351,128,0.00015887110816328772,ON,1024,3.9714463958158337
78,PRUNED,3.082162767648697,2026-01-27T16:10:38.699243,2026-01-27T16:10:50.897567,12.198324,{},64,923,0.0005423075365910079,512,0.0004162607484888322,ON,512,2.017757821400682
79,PRUNED,4.202648687362671,2026-01-27T16:10:50.905221,2026-01-27T16:11:04.903251,13.99803,{},48,723,0.00041612779683666547,512,0.00019450500573926473,ON,2048,2.38051155025911
80,PRUNED,5.053409568965435,2026-01-27T16:11:04.915186,2026-01-27T16:11:26.341522,21.426336,{},64,764,2.07284094825998e-05,320,0.0002511203704533531,OFF,2048,2.5878606367290704
81,PRUNED,2.846649020910263,2026-01-27T16:11:26.352704,2026-01-27T16:11:44.576461,18.223757,{},64,868,0.0007640317514222257,512,0.00048724736677672217,ON,2048,2.262080440510307
82,COMPLETE,2.1473841071128845,2026-01-27T16:11:44.587418,2026-01-27T16:16:25.290415,280.702997,"{""best_epoch"": 479, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/16-11-44""}",64,815,0.0009995908988628614,512,0.00034309075628754723,ON,2048,2.4724510639592974
83,COMPLETE,2.119978651404381,2026-01-27T16:16:25.308508,2026-01-27T16:20:56.782019,271.473511,"{""best_epoch"": 395, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/16-16-25""}",64,815,0.0009857697596629656,512,0.0003145679127821442,ON,2048,2.4652123782727156
84,PRUNED,2.9634727016091347,2026-01-27T16:20:56.800947,2026-01-27T16:21:11.706719,14.905772,{},64,671,0.0005650533089977305,512,0.0006591904475733107,ON,2048,2.702078332065488
85,PRUNED,3.2393538057804108,2026-01-27T16:21:11.714404,2026-01-27T16:21:26.037711,14.323307,{},64,973,0.00035271352693837016,512,0.0003179619145438601,ON,2048,2.8540256528230916
86,PRUNED,7.916791495680809,2026-01-27T16:21:26.047097,2026-01-27T16:21:41.384796,15.337699,{},16,619,0.0007808473647558127,512,0.0002729069786687969,ON,2048,2.1990320154392995
87,PRUNED,10.21733845770359,2026-01-27T16:21:41.397547,2026-01-27T16:21:54.963822,13.566275,{},64,809,1.8920566898444193e-08,512,0.0007677792800420354,ON,2048,2.983181665656312
88,PRUNED,8.226439692080021,2026-01-27T16:21:54.974132,2026-01-27T16:22:08.623038,13.648906,{},32,710,0.00018905507454788136,512,0.0004245656267678068,ON,2048,2.4167696854295446
89,PRUNED,2.9890672862529755,2026-01-27T16:22:08.631093,2026-01-27T16:22:30.609549,21.978456,{},64,902,0.0005676664822911397,160,0.0005084249445785262,ON,2048,2.5983109953814623
90,PRUNED,8.566797748208046,2026-01-27T16:22:30.619658,2026-01-27T16:22:44.233978,13.61432,{},64,10,1.0368396220999741e-07,256,0.00021486127992129204,ON,1024,2.1276390201881377
91,PRUNED,2.8462218567728996,2026-01-27T16:22:44.244448,2026-01-27T16:22:57.634491,13.390043,{},64,818,0.0007837226592509426,512,0.00034938034209489933,ON,2048,2.5209148707727134
92,COMPLETE,1.9982177913188934,2026-01-27T16:22:57.643553,2026-01-27T16:27:39.641554,281.998001,"{""best_epoch"": 757, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/16-22-57""}",64,842,0.0009859011336133623,512,0.0005736979935697689,ON,2048,2.273735643081688
93,PRUNED,3.0934835076332092,2026-01-27T16:27:39.664878,2026-01-27T16:27:53.866620,14.201742,{},64,839,0.00045251337023718676,512,0.000876311833525542,ON,2048,2.32891749737025
94,PRUNED,3.2411660999059677,2026-01-27T16:27:53.875388,2026-01-27T16:28:10.856836,16.981448,{},64,937,0.00032051647916120775,512,0.0005808353066409892,ON,2048,2.2466768493035127
95,PRUNED,3.031908556818962,2026-01-27T16:28:10.865485,2026-01-27T16:28:28.035699,17.170214,{},64,868,0.0005654988548548303,512,0.0004493654178708343,ON,2048,2.456312009515785
96,PRUNED,7.330526188015938,2026-01-27T16:28:28.044418,2026-01-27T16:28:41.840249,13.795831,{},64,757,5.560210361692917e-07,512,0.0007072474305710334,ON,2048,2.3560337818621084
97,PRUNED,9.232272357741993,2026-01-27T16:28:41.848678,2026-01-27T16:28:59.722637,17.873959,{},8,466,0.0008074298024632476,128,0.00029381824379158647,OFF,512,2.7446277782086814
98,PRUNED,3.372232310473919,2026-01-27T16:28:59.731835,2026-01-27T16:29:13.746714,14.014879,{},64,793,0.00024973694513588413,512,0.00024269474133562356,ON,2048,2.6528216541447263
99,PRUNED,4.159615981578827,2026-01-27T16:29:13.755443,2026-01-27T16:29:28.014284,14.258841,{},48,909,0.00041813523231792296,512,0.0006203089163339481,ON,2048,2.2863652819775897
100,PRUNED,2.9203704595565796,2026-01-27T16:29:28.023974,2026-01-27T16:29:41.648283,13.624309,{},64,883,0.000667871979607684,512,0.0013103450573393842,ON,2048,2.1647027979799613
101,PRUNED,2.7174903601408005,2026-01-27T16:29:41.657076,2026-01-27T16:29:55.094749,13.437673,{},64,855,0.0009097810704053736,512,0.00037606868442600786,ON,2048,2.4604862379304038
102,COMPLETE,2.1208293810486794,2026-01-27T16:29:55.109522,2026-01-27T16:34:30.632718,275.523196,"{""best_epoch"": 497, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-27/16-29-55""}",64,836,0.0009739541912807607,512,0.00033423296890768304,ON,2048,2.5218617406328145
103,PRUNED,2.9590096175670624,2026-01-27T16:34:30.649067,2026-01-27T16:34:41.229848,10.580781,{},64,945,0.0006061439888216676,512,0.00018233719833071134,ON,2048,2.5348345924942874
104,PRUNED,6.111277088522911,2026-01-27T16:34:41.237654,2026-01-27T16:34:51.812154,10.5745,{},64,835,2.7301398570604934e-06,512,0.00047621333492879267,ON,2048,2.087883018181893
105,PRUNED,2.8422715291380882,2026-01-27T16:34:51.820906,2026-01-27T16:35:03.700112,11.879206,{},64,972,0.0007850624727675734,512,0.0005574026871830171,ON,2048,2.4074347798172955
106,PRUNED,8.943444429834683,2026-01-27T16:35:03.713205,2026-01-27T16:35:17.458265,13.74506,{},16,785,0.00042000477357988794,512,0.0004065079460133434,ON,2048,2.580873384918006
107,PRUNED,2.698468640446663,2026-01-27T16:35:17.467017,2026-01-27T16:35:30.643168,13.176151,{},64,858,0.00098489052287381,320,0.0003209842001243015,ON,2048,2.8050778828016267
108,PRUNED,2.943850874900818,2026-01-27T16:35:30.651028,2026-01-27T16:35:41.357892,10.706864,{},64,827,0.0006265899921231456,512,0.0002692703393395994,ON,2048,2.014846031860055
109,PRUNED,3.3320889472961426,2026-01-27T16:35:41.365114,2026-01-27T16:35:51.984840,10.619726,{},64,924,0.00030432433660534995,512,0.0005198595964748729,ON,2048,2.2612420367188775
