number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_eps,param_hop_length,param_lr,param_mel,param_n_fft,param_norm_p
0,COMPLETE,17.520517885684967,2026-02-02T10:36:25.667188,2026-02-02T10:50:42.666189,856.999001,"{""best_epoch"": 19, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/10-36-25""}",16,21,1.0129197956845722e-05,128,0.00020511104188433984,OFF,2048,3.5985284373248057
1,COMPLETE,17.69060468773047,2026-02-02T10:50:42.679577,2026-02-02T11:32:21.249556,2498.569979,"{""best_epoch"": 151, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/10-50-42""}",16,159,3.725393839578879e-06,320,0.000816845589476017,OFF,2048,1.5990213464750793
2,PRUNED,26.54094128534198,2026-02-02T11:32:21.260431,2026-02-02T11:33:30.588259,69.327828,{},8,59,3.618723330959616e-07,128,0.006586289317583112,OFF,1024,2.9875668530619457
3,COMPLETE,7.295736759901047,2026-02-02T11:33:30.596795,2026-02-02T11:39:55.476439,384.879644,"{""best_epoch"": 69, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-02/11-33-30""}",48,78,5.169879442298538e-06,128,0.004544383960336014,ON,1024,1.8428035290621423
4,COMPLETE,7.033376231789589,2026-02-02T11:39:55.488403,2026-02-02T11:45:56.001447,360.513044,"{""best_epoch"": 63, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-02/11-39-55""}",64,73,3.588488911386254e-07,128,0.0017643967683381545,ON,1024,1.1906750508580708
5,PRUNED,20.12653737862905,2026-02-02T11:45:56.013224,2026-02-02T11:46:33.069470,37.056246,{},16,131,3.4902252478382486e-06,128,0.0001155735281626988,OFF,512,1.94306794322898
6,PRUNED,20.167727667838335,2026-02-02T11:46:33.077925,2026-02-02T11:48:41.686567,128.608642,{},64,164,3.8906070987056304e-07,160,0.0011986281799901185,OFF,2048,3.6882738997704796
7,PRUNED,28.181996953487396,2026-02-02T11:48:41.695467,2026-02-02T11:49:12.290081,30.594614,{},16,195,1.8151456496577548e-07,160,0.0005336533066379613,OFF,512,3.8873418848263337
8,PRUNED,18.361036263406277,2026-02-02T11:49:12.298393,2026-02-02T11:49:32.305963,20.00757,{},32,55,6.901057779813303e-07,160,0.003336101309469784,ON,1024,3.1846490458355787
9,PRUNED,20.558063006401063,2026-02-02T11:49:32.314595,2026-02-02T11:52:12.325875,160.01128,{},48,83,4.8708496102002865e-08,128,0.002409214543666477,OFF,2048,3.8101899662102037
10,COMPLETE,3.1075233668088913,2026-02-02T11:52:12.334296,2026-02-02T11:52:32.029327,19.695031,"{""best_epoch"": 9, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-02/11-52-12""}",64,11,0.00028297050585303823,512,0.0014299779613089949,ON,1024,1.053885626844459
11,COMPLETE,2.837289497256279,2026-02-02T11:52:32.039285,2026-02-02T11:52:53.016382,20.977097,"{""best_epoch"": 8, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-02/11-52-32""}",64,12,0.0005783188522841433,512,0.0014877767470530615,ON,1024,1.0261093859498098
12,COMPLETE,2.455933667719364,2026-02-02T11:52:53.029756,2026-02-02T11:53:11.414385,18.384629,"{""best_epoch"": 9, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-02/11-52-53""}",64,10,0.0007074653948204801,512,0.000495181463517275,ON,1024,1.010626372043554
13,COMPLETE,2.2666243836283684,2026-02-02T11:53:11.424907,2026-02-02T11:53:59.191780,47.766873,"{""best_epoch"": 25, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-02/11-53-11""}",64,34,0.0008925867939238788,512,0.00039115639986916223,ON,1024,2.392347787077059
14,COMPLETE,3.642923317849636,2026-02-02T11:53:59.202088,2026-02-02T11:55:38.637732,99.435644,"{""best_epoch"": 23, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-02/11-53-59""}",64,38,7.43139466697864e-05,256,0.0004074834709464709,ON,1024,2.384214518460663
15,PRUNED,12.664786231269439,2026-02-02T11:55:38.648197,2026-02-02T11:55:48.945612,10.297415,{},8,102,5.9186958568004885e-05,512,0.00029023251617944236,ON,1024,2.534794236278076
16,PRUNED,5.9888795129954815,2026-02-02T11:55:48.953855,2026-02-02T11:55:58.189103,9.235248,{},32,38,0.000985128742380199,512,0.0006033605747361168,ON,512,2.392499488134854
17,COMPLETE,3.2158275172114372,2026-02-02T11:55:58.197742,2026-02-02T11:56:47.222647,49.024905,"{""best_epoch"": 17, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-02/11-55-58""}",64,35,0.00013566520487915873,512,0.0001710011349522252,ON,1024,1.48650096251679
18,PRUNED,5.009612366557121,2026-02-02T11:56:47.232938,2026-02-02T11:57:01.707682,14.474744,{},64,106,1.9829626079615705e-05,256,0.0002963592847564787,ON,1024,2.8794367406548487
19,PRUNED,5.05673348903656,2026-02-02T11:57:01.715981,2026-02-02T11:57:13.490008,11.774027,{},64,55,3.0741796206565715e-05,320,0.0006566164649777857,ON,512,2.070111909124213
20,PRUNED,9.897587913523118,2026-02-02T11:57:13.498596,2026-02-02T11:57:23.890976,10.39238,{},8,28,0.000286294054524606,512,0.00010326503450976925,ON,1024,1.4460920041745966
