number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_eps,param_hop_length,param_lr,param_mel,param_n_fft,param_norm_p
0,COMPLETE,17.025394442429146,2026-01-29T20:45:56.857029,2026-01-29T21:12:53.485170,1616.628141,"{""best_epoch"": 18, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-01-29/20-45-57""}",16,21,1.0129197956845722e-05,128,0.00020511104188433984,OFF,2048,3.5985284373248057
1,COMPLETE,17.808831527332465,2026-01-29T21:12:53.498310,2026-01-29T22:31:45.207571,4731.709261,"{""best_epoch"": 157, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-01-29/21-12-53""}",16,159,3.725393839578879e-06,320,0.000816845589476017,OFF,2048,1.5990213464750793
2,PRUNED,25.856387762228646,2026-01-29T22:31:45.217853,2026-01-29T22:33:46.203199,120.985346,{},8,59,3.618723330959616e-07,128,0.006586289317583112,OFF,1024,2.9875668530619457
3,COMPLETE,7.360250532627106,2026-01-29T22:33:46.211319,2026-01-29T22:45:11.131300,684.919981,"{""best_epoch"": 59, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-01-29/22-33-46""}",48,78,5.169879442298538e-06,128,0.004544383960336014,ON,1024,1.8428035290621423
4,COMPLETE,6.897098891437054,2026-01-29T22:45:11.142943,2026-01-29T22:55:50.187681,639.044738,"{""best_epoch"": 35, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/22-45-11""}",64,73,3.588488911386254e-07,128,0.0017643967683381545,ON,1024,1.1906750508580708
5,PRUNED,20.376494927704336,2026-01-29T22:55:50.199756,2026-01-29T22:56:53.203170,63.003414,{},16,131,3.4902252478382486e-06,128,0.0001155735281626988,OFF,512,1.94306794322898
6,PRUNED,19.713593512773514,2026-01-29T22:56:53.211508,2026-01-29T23:02:35.099595,341.888087,{},64,164,3.8906070987056304e-07,160,0.0011986281799901185,OFF,2048,3.6882738997704796
7,PRUNED,29.40206694304943,2026-01-29T23:02:35.107669,2026-01-29T23:03:26.191511,51.083842,{},16,195,1.8151456496577548e-07,160,0.0005336533066379613,OFF,512,3.8873418848263337
8,PRUNED,18.365392290055752,2026-01-29T23:03:26.199952,2026-01-29T23:03:56.102646,29.902694,{},32,55,6.901057779813303e-07,160,0.003336101309469784,ON,1024,3.1846490458355787
9,PRUNED,20.819277942180634,2026-01-29T23:03:56.112383,2026-01-29T23:08:21.403606,265.291223,{},48,83,4.8708496102002865e-08,128,0.002409214543666477,OFF,2048,3.8101899662102037
10,COMPLETE,3.1356460712850094,2026-01-29T23:08:21.412375,2026-01-29T23:08:52.498319,31.085944,"{""best_epoch"": 11, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/23-08-21""}",64,11,0.00028297050585303823,512,0.0014299779613089949,ON,1024,1.053885626844459
11,COMPLETE,2.5786572694778442,2026-01-29T23:08:52.509596,2026-01-29T23:09:25.747928,33.238332,"{""best_epoch"": 9, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/23-08-52""}",64,12,0.0005783188522841433,512,0.0014877767470530615,ON,1024,1.0261093859498098
