number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_eps,param_hop_length,param_lr,param_mel,param_n_fft,param_norm_p
0,COMPLETE,17.23845487833023,2026-02-12T21:08:22.880230,2026-02-12T21:10:34.403502,131.523272,"{""best_epoch"": 59, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-12/21-08-23""}",16,67,1.0129197956845722e-05,128,0.00020511104188433984,OFF,2048,3.5985284373248057
1,COMPLETE,17.882943813006083,2026-02-12T21:10:34.415713,2026-02-12T21:20:31.848134,597.432421,"{""best_epoch"": 781, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-12/21-10-34""}",16,788,3.725393839578879e-06,320,0.000816845589476017,OFF,2048,1.5990213464750793
2,PRUNED,26.27289897526304,2026-02-12T21:20:31.862911,2026-02-12T21:20:44.968368,13.105457,{},8,266,3.618723330959616e-07,128,0.006586289317583112,OFF,1024,2.9875668530619457
3,COMPLETE,7.428952497243881,2026-02-12T21:20:44.977264,2026-02-12T21:22:25.379466,100.402202,"{""best_epoch"": 141, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-12/21-20-45""}",48,363,5.169879442298538e-06,128,0.004544383960336014,ON,1024,1.8428035290621423
4,COMPLETE,6.50797563791275,2026-02-12T21:22:25.394902,2026-02-12T21:23:58.598073,93.203171,"{""best_epoch"": 334, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-12/21-22-25""}",64,337,3.588488911386254e-07,128,0.0017643967683381545,ON,1024,1.1906750508580708
5,PRUNED,20.98694250981013,2026-02-12T21:23:58.613626,2026-02-12T21:24:07.022682,8.409056,{},16,640,3.4902252478382486e-06,128,0.0001155735281626988,OFF,512,1.94306794322898
6,COMPLETE,6.286719843745232,2026-02-12T21:24:07.030114,2026-02-12T21:43:41.005591,1173.975477,"{""best_epoch"": 780, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-12/21-24-07""}",64,810,3.8906070987056304e-07,160,0.0011986281799901185,OFF,2048,3.6882738997704796
7,PRUNED,28.78188790678978,2026-02-12T21:43:41.440631,2026-02-12T21:43:53.708259,12.267628,{},16,973,1.8151456496577548e-07,160,0.0005336533066379613,OFF,512,3.8873418848263337
8,PRUNED,18.747127555310726,2026-02-12T21:43:54.281636,2026-02-12T21:44:08.993299,14.711663,{},32,245,6.901057779813303e-07,160,0.003336101309469784,ON,1024,3.1846490458355787
9,PRUNED,13.322301828861237,2026-02-12T21:44:09.646962,2026-02-12T21:44:42.739256,33.092294,{},48,393,4.8708496102002865e-08,128,0.002409214543666477,OFF,2048,3.8101899662102037
10,COMPLETE,2.6458409428596497,2026-02-12T21:44:43.490372,2026-02-12T21:50:19.139850,335.649478,"{""best_epoch"": 683, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-12/21-44-46""}",64,970,0.0002680906498213129,512,0.0005338943774556118,ON,2048,2.528097245899107
11,COMPLETE,2.137509874999523,2026-02-12T21:50:19.162498,2026-02-12T21:51:58.523650,99.361152,"{""best_epoch"": 961, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-12/21-50-19""}",64,996,0.0005777118255328356,512,0.00032810037077763495,ON,2048,2.4197105732823077
12,COMPLETE,2.193666201084852,2026-02-12T21:51:58.546611,2026-02-12T21:53:36.739866,98.193255,"{""best_epoch"": 953, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-12/21-51-58""}",64,968,0.0007068979731794238,512,0.00036320904652239295,ON,2048,2.5544774969929556
