number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_eps,param_hop_length,param_lr,param_mel,param_n_fft,param_norm_p
0,COMPLETE,17.790810811519624,2026-01-29T16:59:00.315142,2026-01-29T17:12:39.806405,819.491263,"{""best_epoch"": 18, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-01-29/16-59-00""}",16,21,1.0129197956845722e-05,128,0.00020511104188433984,OFF,2048,3.5985284373248057
1,COMPLETE,17.627855697770915,2026-01-29T17:12:39.819226,2026-01-29T17:52:29.561494,2389.742268,"{""best_epoch"": 143, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-01-29/17-12-39""}",16,159,3.725393839578879e-06,320,0.000816845589476017,OFF,2048,1.5990213464750793
2,PRUNED,26.160526781280836,2026-01-29T17:52:29.574359,2026-01-29T17:53:36.262222,66.687863,{},8,59,3.618723330959616e-07,128,0.006586289317583112,OFF,1024,2.9875668530619457
3,COMPLETE,7.3027820706367494,2026-01-29T17:53:36.270966,2026-01-29T17:59:37.755191,361.484225,"{""best_epoch"": 78, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-01-29/17-53-36""}",48,78,5.169879442298538e-06,128,0.004544383960336014,ON,1024,1.8428035290621423
4,COMPLETE,6.946718517690897,2026-01-29T17:59:37.766986,2026-01-29T18:05:16.142725,338.375739,"{""best_epoch"": 65, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/17-59-37""}",64,73,3.588488911386254e-07,128,0.0017643967683381545,ON,1024,1.1906750508580708
5,PRUNED,20.74717227021853,2026-01-29T18:05:16.154178,2026-01-29T18:05:51.299194,35.145016,{},16,131,3.4902252478382486e-06,128,0.0001155735281626988,OFF,512,1.94306794322898
6,PRUNED,20.190275318920612,2026-01-29T18:05:51.307719,2026-01-29T18:08:05.640687,134.332968,{},64,164,3.8906070987056304e-07,160,0.0011986281799901185,OFF,2048,3.6882738997704796
7,PRUNED,29.026976440350214,2026-01-29T18:08:05.649050,2026-01-29T18:08:34.822549,29.173499,{},16,195,1.8151456496577548e-07,160,0.0005336533066379613,OFF,512,3.8873418848263337
8,PRUNED,18.518780522048473,2026-01-29T18:08:34.830725,2026-01-29T18:08:54.291269,19.460544,{},32,55,6.901057779813303e-07,160,0.003336101309469784,ON,1024,3.1846490458355787
9,PRUNED,20.67879821956158,2026-01-29T18:08:54.300481,2026-01-29T18:11:25.622670,151.322189,{},48,83,4.8708496102002865e-08,128,0.002409214543666477,OFF,2048,3.8101899662102037
10,COMPLETE,3.115692511200905,2026-01-29T18:11:25.631485,2026-01-29T18:11:44.457648,18.826163,"{""best_epoch"": 9, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/18-11-25""}",64,11,0.00028297050585303823,512,0.0014299779613089949,ON,1024,1.053885626844459
11,COMPLETE,2.918575197458267,2026-01-29T18:11:44.468532,2026-01-29T18:12:04.481286,20.012754,"{""best_epoch"": 4, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/18-11-44""}",64,12,0.0005783188522841433,512,0.0014877767470530615,ON,1024,1.0261093859498098
12,COMPLETE,2.823537155985832,2026-01-29T18:12:04.491305,2026-01-29T18:12:22.061722,17.570417,"{""best_epoch"": 5, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/18-12-04""}",64,10,0.0007074653948204801,512,0.000495181463517275,ON,1024,1.010626372043554
13,COMPLETE,2.361035704612732,2026-01-29T18:12:22.072314,2026-01-29T18:13:07.233049,45.160735,"{""best_epoch"": 32, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/18-12-22""}",64,34,0.0008925867939238788,512,0.00039115639986916223,ON,1024,2.392347787077059
14,COMPLETE,3.5283011198043823,2026-01-29T18:13:07.244383,2026-01-29T18:14:41.037010,93.792627,"{""best_epoch"": 16, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/18-13-07""}",64,38,7.43139466697864e-05,256,0.0004074834709464709,ON,1024,2.384214518460663
