dim_1,dim_2,speed,vehicle_type,direction,location,domain
-43.70858785949484,-15.020984234959249,50.0,0,1,1,real
-40.36341602418269,-18.57296940645644,30.0,0,0,0,real
-36.781960465628075,-24.77219483392025,70.0,0,0,2,real
-47.07974153096695,-15.536630576561173,50.0,0,1,1,real
-45.885674423394335,-14.93051195594155,70.0,0,1,2,real
-42.90603320188975,-19.564911906959573,50.0,0,0,1,real
-42.61195373371969,-19.537858099070384,50.0,0,0,1,real
-47.861109547865695,-15.413537712982713,30.0,0,0,0,real
-39.64508036751616,-17.696223686918096,30.0,0,0,0,real
-43.707534244299595,-14.846825559116091,50.0,0,1,1,real
-45.322912729849165,-20.807447248550478,70.0,0,1,2,real
-39.65971700703998,-17.488980089630925,50.0,0,1,1,real
-42.25605499155806,-19.319434493208735,50.0,0,0,1,real
-40.38457832534007,-18.949213306093412,30.0,0,1,0,real
-46.752696743222316,-15.437187357490865,70.0,0,1,2,real
-42.026049706181354,-16.92326219205193,50.0,0,1,1,real
-41.87206008686552,-16.638152828858335,70.0,0,0,2,real
-47.87248647804463,-15.566715928065655,50.0,0,1,1,real
-45.93484371299001,-15.012476140724754,70.0,0,0,2,real
-43.78887547555245,-15.414656244841835,50.0,0,0,1,real
-47.90536089722132,-14.586078325822637,70.0,0,1,2,real
-47.87488902879355,-15.787565035783217,50.0,1,1,1,real
-47.85609415457501,-14.073445878248819,70.0,0,0,2,real
-45.835282544762535,-14.88129094316982,50.0,0,0,1,real
-46.10798629521825,-14.912873662421799,50.0,0,0,1,real
-43.721111701157156,-15.515705000298063,70.0,1,1,2,real
-47.8398624023954,-15.501485507474342,50.0,0,0,1,real
-42.47702381603797,-19.537472778296387,70.0,0,1,2,real
-47.80367825707703,-13.735617509062001,50.0,0,1,1,real
-47.813050753872346,-15.247603575377154,70.0,0,1,2,real
-40.31746958030448,-19.014066569490556,30.0,0,1,0,real
-43.15360859598478,-22.875052991118345,70.0,0,0,2,real
-47.86798074658567,-15.328845181860778,50.0,0,1,1,real
-45.5009146552014,-14.594551919723774,50.0,0,0,1,real
-47.82244503489674,-15.38130543589487,50.0,0,1,1,real
-42.049086069487025,-17.215818810511852,50.0,0,1,1,real
-40.48589117940727,-18.905409408412808,50.0,0,0,1,real
-47.74270523484949,-15.05424523591115,70.0,0,0,2,real
-40.43961203062476,-18.93301787967269,50.0,0,1,1,real
-43.68827469843703,-16.169926107240197,30.0,0,1,0,real
-39.72989332697828,-17.76690538608729,30.0,0,0,0,real
-47.833554509272616,-15.465330685735015,70.0,1,0,2,real
-45.77282360164127,-14.792990249966394,70.0,0,1,2,real
-45.707883431672705,-14.64937297588051,50.0,0,0,1,real
-45.659964957746716,-14.790138447327958,70.0,1,1,2,real
-41.93212532586589,-16.263046688332995,50.0,0,1,1,real
-46.92414654224479,-15.51212312306202,70.0,0,1,2,real
-47.74455634585989,-15.127658503595121,50.0,0,1,1,real
-47.87149215961406,-15.728893275732442,70.0,0,1,2,real
-43.59869717179506,-15.62663567481302,50.0,0,0,1,real
-40.1490760162846,-18.23134232969571,50.0,0,0,1,real
-43.7464800535132,-15.497222692151349,50.0,0,0,1,real
